,symbol,date_timestamp,open,low,high,close,volume,expiry,expiry_type
0,NIFTY,2024-10-14 09:15:00,25089,25082,25126,25113,80600,2024-10-31 14:30:00,I
1,NIFTY,2024-10-14 09:16:00,25115,25115,25146,25140,58575,2024-10-31 14:30:00,I
2,NIFTY,2024-10-14 09:17:00,25142,25141,25148,25141,38425,2024-10-31 14:30:00,I
3,NIFTY,2024-10-14 09:18:00,25141,25140,25150,25145,46500,2024-10-31 14:30:00,I
4,NIFTY,2024-10-14 09:19:00,25145,25141,25149,25148,39875,2024-10-31 14:30:00,I
5,NIFTY,2024-10-14 09:20:00,25138,25133,25146,25139,42000,2024-10-31 14:30:00,I
6,NIFTY,2024-10-14 09:21:00,25135,25121,25139,25127,32300,2024-10-31 14:30:00,I
7,NIFTY,2024-10-14 09:22:00,25126,25123,25134,25131,13975,2024-10-31 14:30:00,I
8,NIFTY,2024-10-14 09:23:00,25132,25123,25137,25137,23175,2024-10-31 14:30:00,I
9,NIFTY,2024-10-14 09:24:00,25137,25133,25140,25139,9725,2024-10-31 14:30:00,I
10,NIFTY,2024-10-14 09:25:00,25139,25113,25140,25120,42600,2024-10-31 14:30:00,I
11,NIFTY,2024-10-14 09:26:00,25116,25109,25120,25118,22125,2024-10-31 14:30:00,I
12,NIFTY,2024-10-14 09:27:00,25118,25102,25121,25112,17225,2024-10-31 14:30:00,I
13,NIFTY,2024-10-14 09:28:00,25112,25110,25127,25124,20725,2024-10-31 14:30:00,I
14,NIFTY,2024-10-14 09:29:00,25124,25116,25130,25129,22025,2024-10-31 14:30:00,I
15,NIFTY,2024-10-14 09:30:00,25122,25122,25139,25131,26350,2024-10-31 14:30:00,I
16,NIFTY,2024-10-14 09:31:00,25131,25131,25140,25139,11325,2024-10-31 14:30:00,I
17,NIFTY,2024-10-14 09:32:00,25140,25123,25140,25125,17825,2024-10-31 14:30:00,I
18,NIFTY,2024-10-14 09:33:00,25125,25125,25139,25139,7475,2024-10-31 14:30:00,I
19,NIFTY,2024-10-14 09:34:00,25138,25135,25142,25140,9100,2024-10-31 14:30:00,I
20,NIFTY,2024-10-14 09:35:00,25141,25131,25145,25143,18100,2024-10-31 14:30:00,I
21,NIFTY,2024-10-14 09:36:00,25144,25138,25149,25138,12275,2024-10-31 14:30:00,I
22,NIFTY,2024-10-14 09:37:00,25142,25134,25145,25136,5600,2024-10-31 14:30:00,I
23,NIFTY,2024-10-14 09:38:00,25138,25134,25142,25140,10425,2024-10-31 14:30:00,I
24,NIFTY,2024-10-14 09:39:00,25139,25131,25143,25133,8275,2024-10-31 14:30:00,I
25,NIFTY,2024-10-14 09:40:00,25132,25121,25138,25125,7925,2024-10-31 14:30:00,I
26,NIFTY,2024-10-14 09:41:00,25122,25121,25132,25132,15750,2024-10-31 14:30:00,I
27,NIFTY,2024-10-14 09:42:00,25134,25131,25139,25135,7225,2024-10-31 14:30:00,I
28,NIFTY,2024-10-14 09:43:00,25138,25133,25165,25165,81650,2024-10-31 14:30:00,I
29,NIFTY,2024-10-14 09:44:00,25161,25161,25195,25192,89225,2024-10-31 14:30:00,I
30,NIFTY,2024-10-14 09:45:00,25193,25192,25218,25218,138600,2024-10-31 14:30:00,I
31,NIFTY,2024-10-14 09:46:00,25216,25216,25229,25228,74075,2024-10-31 14:30:00,I
32,NIFTY,2024-10-14 09:47:00,25228,25213,25230,25219,84300,2024-10-31 14:30:00,I
33,NIFTY,2024-10-14 09:48:00,25219,25211,25221,25212,25375,2024-10-31 14:30:00,I
34,NIFTY,2024-10-14 09:49:00,25210,25210,25222,25219,20600,2024-10-31 14:30:00,I
35,NIFTY,2024-10-14 09:50:00,25216,25215,25220,25217,16325,2024-10-31 14:30:00,I
36,NIFTY,2024-10-14 09:51:00,25218,25205,25220,25205,17700,2024-10-31 14:30:00,I
37,NIFTY,2024-10-14 09:52:00,25207,25204,25225,25215,24675,2024-10-31 14:30:00,I
38,NIFTY,2024-10-14 09:53:00,25215,25209,25223,25216,19550,2024-10-31 14:30:00,I
39,NIFTY,2024-10-14 09:54:00,25216,25210,25223,25223,25975,2024-10-31 14:30:00,I
40,NIFTY,2024-10-14 09:55:00,25218,25214,25224,25214,24350,2024-10-31 14:30:00,I
41,NIFTY,2024-10-14 09:56:00,25214,25212,25224,25220,35500,2024-10-31 14:30:00,I
42,NIFTY,2024-10-14 09:57:00,25221,25216,25224,25221,19925,2024-10-31 14:30:00,I
43,NIFTY,2024-10-14 09:58:00,25213,25211,25220,25215,14050,2024-10-31 14:30:00,I
44,NIFTY,2024-10-14 09:59:00,25211,25205,25218,25206,7950,2024-10-31 14:30:00,I
45,NIFTY,2024-10-14 10:00:00,25207,25207,25237,25236,39525,2024-10-31 14:30:00,I
46,NIFTY,2024-10-14 10:01:00,25236,25228,25240,25234,57500,2024-10-31 14:30:00,I
47,NIFTY,2024-10-14 10:02:00,25232,25223,25236,25230,13225,2024-10-31 14:30:00,I
48,NIFTY,2024-10-14 10:03:00,25227,25226,25237,25237,44575,2024-10-31 14:30:00,I
49,NIFTY,2024-10-14 10:04:00,25237,25235,25247,25246,23525,2024-10-31 14:30:00,I
50,NIFTY,2024-10-14 10:05:00,25246,25234,25248,25240,17925,2024-10-31 14:30:00,I
51,NIFTY,2024-10-14 10:06:00,25240,25231,25240,25232,11475,2024-10-31 14:30:00,I
52,NIFTY,2024-10-14 10:07:00,25233,25225,25237,25235,40000,2024-10-31 14:30:00,I
53,NIFTY,2024-10-14 10:08:00,25234,25226,25236,25228,35500,2024-10-31 14:30:00,I
54,NIFTY,2024-10-14 10:09:00,25227,25221,25227,25224,14425,2024-10-31 14:30:00,I
55,NIFTY,2024-10-14 10:10:00,25222,25222,25230,25228,18375,2024-10-31 14:30:00,I
56,NIFTY,2024-10-14 10:11:00,25228,25211,25228,25214,32525,2024-10-31 14:30:00,I
57,NIFTY,2024-10-14 10:12:00,25216,25209,25219,25209,8200,2024-10-31 14:30:00,I
58,NIFTY,2024-10-14 10:13:00,25209,25193,25212,25194,21150,2024-10-31 14:30:00,I
59,NIFTY,2024-10-14 10:14:00,25195,25194,25210,25210,13700,2024-10-31 14:30:00,I
60,NIFTY,2024-10-14 10:15:00,25210,25206,25222,25216,11400,2024-10-31 14:30:00,I
61,NIFTY,2024-10-14 10:16:00,25216,25204,25220,25210,11550,2024-10-31 14:30:00,I
62,NIFTY,2024-10-14 10:17:00,25212,25204,25217,25205,5025,2024-10-31 14:30:00,I
