,symbol,date_timestamp,open,low,high,close,volume,expiry,expiry_type
0,NIFTY,2024-10-18 09:15:00,24759,24720,24759,24720,156050,2024-10-31 14:30:00,I
1,NIFTY,2024-10-18 09:16:00,24720,24683,24720,24690,128925,2024-10-31 14:30:00,I
2,NIFTY,2024-10-18 09:17:00,24688,24680,24697,24686,65050,2024-10-31 14:30:00,I
3,NIFTY,2024-10-18 09:18:00,24689,24664,24689,24671,80375,2024-10-31 14:30:00,I
4,NIFTY,2024-10-18 09:19:00,24675,24665,24682,24679,135475,2024-10-31 14:30:00,I
5,NIFTY,2024-10-18 09:20:00,24671,24659,24678,24670,45675,2024-10-31 14:30:00,I
6,NIFTY,2024-10-18 09:21:00,24670,24656,24674,24660,57475,2024-10-31 14:30:00,I
7,NIFTY,2024-10-18 09:22:00,24656,24651,24663,24654,60525,2024-10-31 14:30:00,I
8,NIFTY,2024-10-18 09:23:00,24654,24645,24658,24656,46925,2024-10-31 14:30:00,I
9,NIFTY,2024-10-18 09:24:00,24654,24650,24659,24656,44500,2024-10-31 14:30:00,I
10,NIFTY,2024-10-18 09:25:00,24655,24645,24671,24649,44900,2024-10-31 14:30:00,I
11,NIFTY,2024-10-18 09:26:00,24650,24642,24669,24656,36625,2024-10-31 14:30:00,I
12,NIFTY,2024-10-18 09:27:00,24656,24656,24669,24664,21500,2024-10-31 14:30:00,I
13,NIFTY,2024-10-18 09:28:00,24665,24658,24670,24665,21950,2024-10-31 14:30:00,I
14,NIFTY,2024-10-18 09:29:00,24664,24641,24664,24646,31800,2024-10-31 14:30:00,I
15,NIFTY,2024-10-18 09:30:00,24649,24641,24686,24686,71100,2024-10-31 14:30:00,I
16,NIFTY,2024-10-18 09:31:00,24686,24686,24710,24691,54500,2024-10-31 14:30:00,I
17,NIFTY,2024-10-18 09:32:00,24688,24682,24710,24701,35150,2024-10-31 14:30:00,I
18,NIFTY,2024-10-18 09:33:00,24709,24689,24712,24693,32700,2024-10-31 14:30:00,I
19,NIFTY,2024-10-18 09:34:00,24692,24686,24713,24712,29750,2024-10-31 14:30:00,I
20,NIFTY,2024-10-18 09:35:00,24709,24705,24731,24724,70000,2024-10-31 14:30:00,I
21,NIFTY,2024-10-18 09:36:00,24723,24693,24723,24693,37500,2024-10-31 14:30:00,I
22,NIFTY,2024-10-18 09:37:00,24692,24692,24719,24710,22850,2024-10-31 14:30:00,I
23,NIFTY,2024-10-18 09:38:00,24710,24698,24725,24720,32600,2024-10-31 14:30:00,I
24,NIFTY,2024-10-18 09:39:00,24725,24717,24729,24723,35775,2024-10-31 14:30:00,I
25,NIFTY,2024-10-18 09:40:00,24723,24714,24739,24717,33075,2024-10-31 14:30:00,I
26,NIFTY,2024-10-18 09:41:00,24720,24710,24734,24726,21125,2024-10-31 14:30:00,I
27,NIFTY,2024-10-18 09:42:00,24725,24710,24726,24716,16450,2024-10-31 14:30:00,I
28,NIFTY,2024-10-18 09:43:00,24716,24702,24718,24709,13125,2024-10-31 14:30:00,I
29,NIFTY,2024-10-18 09:44:00,24705,24705,24725,24725,19050,2024-10-31 14:30:00,I
30,NIFTY,2024-10-18 09:45:00,24724,24715,24732,24728,20150,2024-10-31 14:30:00,I
31,NIFTY,2024-10-18 09:46:00,24726,24720,24734,24734,20475,2024-10-31 14:30:00,I
32,NIFTY,2024-10-18 09:47:00,24734,24730,24747,24747,34550,2024-10-31 14:30:00,I
33,NIFTY,2024-10-18 09:48:00,24748,24745,24771,24769,74700,2024-10-31 14:30:00,I
34,NIFTY,2024-10-18 09:49:00,24769,24763,24775,24774,32300,2024-10-31 14:30:00,I
35,NIFTY,2024-10-18 09:50:00,24775,24755,24777,24758,24825,2024-10-31 14:30:00,I
36,NIFTY,2024-10-18 09:51:00,24758,24752,24767,24752,18000,2024-10-31 14:30:00,I
37,NIFTY,2024-10-18 09:52:00,24752,24748,24762,24759,14825,2024-10-31 14:30:00,I
38,NIFTY,2024-10-18 09:53:00,24759,24750,24764,24757,13650,2024-10-31 14:30:00,I
39,NIFTY,2024-10-18 09:54:00,24757,24707,24759,24710,34725,2024-10-31 14:30:00,I
40,NIFTY,2024-10-18 09:55:00,24713,24690,24735,24730,43975,2024-10-31 14:30:00,I
