,symbol,date_timestamp,open,low,high,close,volume,expiry,expiry_type
0,NIFTY,2024-10-15 09:15:00,25272,25260,25287,25275,72300,2024-10-31 14:30:00,I
1,NIFTY,2024-10-15 09:16:00,25280,25274,25286,25281,31000,2024-10-31 14:30:00,I
2,NIFTY,2024-10-15 09:17:00,25281,25271,25286,25278,23825,2024-10-31 14:30:00,I
3,NIFTY,2024-10-15 09:18:00,25274,25272,25284,25282,33625,2024-10-31 14:30:00,I
4,NIFTY,2024-10-15 09:19:00,25278,25278,25285,25285,13750,2024-10-31 14:30:00,I
5,NIFTY,2024-10-15 09:20:00,25284,25271,25284,25275,30475,2024-10-31 14:30:00,I
6,NIFTY,2024-10-15 09:21:00,25275,25269,25277,25269,18425,2024-10-31 14:30:00,I
7,NIFTY,2024-10-15 09:22:00,25269,25267,25276,25275,16400,2024-10-31 14:30:00,I
8,NIFTY,2024-10-15 09:23:00,25273,25272,25283,25279,13400,2024-10-31 14:30:00,I
9,NIFTY,2024-10-15 09:24:00,25282,25277,25284,25282,23325,2024-10-31 14:30:00,I
10,NIFTY,2024-10-15 09:25:00,25280,25270,25283,25275,20450,2024-10-31 14:30:00,I
11,NIFTY,2024-10-15 09:26:00,25272,25265,25275,25268,14700,2024-10-31 14:30:00,I
12,NIFTY,2024-10-15 09:27:00,25265,25260,25270,25267,14350,2024-10-31 14:30:00,I
13,NIFTY,2024-10-15 09:28:00,25263,25260,25268,25268,10200,2024-10-31 14:30:00,I
14,NIFTY,2024-10-15 09:29:00,25264,25263,25270,25265,7500,2024-10-31 14:30:00,I
15,NIFTY,2024-10-15 09:30:00,25270,25258,25270,25258,11150,2024-10-31 14:30:00,I
16,NIFTY,2024-10-15 09:31:00,25258,25255,25266,25265,14025,2024-10-31 14:30:00,I
17,NIFTY,2024-10-15 09:32:00,25262,25260,25271,25271,16875,2024-10-31 14:30:00,I
18,NIFTY,2024-10-15 09:33:00,25267,25267,25275,25275,5350,2024-10-31 14:30:00,I
19,NIFTY,2024-10-15 09:34:00,25275,25270,25281,25275,19125,2024-10-31 14:30:00,I
20,NIFTY,2024-10-15 09:35:00,25274,25267,25279,25268,6425,2024-10-31 14:30:00,I
21,NIFTY,2024-10-15 09:36:00,25268,25261,25272,25262,5475,2024-10-31 14:30:00,I
22,NIFTY,2024-10-15 09:37:00,25260,25260,25268,25265,6650,2024-10-31 14:30:00,I
23,NIFTY,2024-10-15 09:38:00,25261,25255,25265,25264,7800,2024-10-31 14:30:00,I
24,NIFTY,2024-10-15 09:39:00,25261,25256,25264,25259,11075,2024-10-31 14:30:00,I
25,NIFTY,2024-10-15 09:40:00,25260,25260,25268,25262,3850,2024-10-31 14:30:00,I
26,NIFTY,2024-10-15 09:41:00,25267,25262,25269,25262,4375,2024-10-31 14:30:00,I
27,NIFTY,2024-10-15 09:42:00,25261,25256,25266,25260,4675,2024-10-31 14:30:00,I
28,NIFTY,2024-10-15 09:43:00,25260,25255,25264,25257,13200,2024-10-31 14:30:00,I
29,NIFTY,2024-10-15 09:44:00,25257,25255,25260,25256,4750,2024-10-31 14:30:00,I
30,NIFTY,2024-10-15 09:45:00,25256,25242,25256,25243,19075,2024-10-31 14:30:00,I
31,NIFTY,2024-10-15 09:46:00,25243,25227,25247,25228,24775,2024-10-31 14:30:00,I
32,NIFTY,2024-10-15 09:47:00,25230,25228,25239,25238,15525,2024-10-31 14:30:00,I
33,NIFTY,2024-10-15 09:48:00,25235,25235,25242,25236,7050,2024-10-31 14:30:00,I
34,NIFTY,2024-10-15 09:49:00,25236,25212,25237,25217,47325,2024-10-31 14:30:00,I
35,NIFTY,2024-10-15 09:50:00,25218,25212,25225,25222,23725,2024-10-31 14:30:00,I
36,NIFTY,2024-10-15 09:51:00,25227,25222,25230,25228,11950,2024-10-31 14:30:00,I
37,NIFTY,2024-10-15 09:52:00,25228,25212,25229,25212,24675,2024-10-31 14:30:00,I
38,NIFTY,2024-10-15 09:53:00,25212,25178,25217,25189,103000,2024-10-31 14:30:00,I
39,NIFTY,2024-10-15 09:54:00,25187,25181,25203,25182,37650,2024-10-31 14:30:00,I
40,NIFTY,2024-10-15 09:55:00,25183,25175,25196,25193,29000,2024-10-31 14:30:00,I
41,NIFTY,2024-10-15 09:56:00,25192,25181,25195,25182,29675,2024-10-31 14:30:00,I
42,NIFTY,2024-10-15 09:57:00,25185,25170,25188,25183,57450,2024-10-31 14:30:00,I
43,NIFTY,2024-10-15 09:58:00,25180,25161,25180,25161,52450,2024-10-31 14:30:00,I
44,NIFTY,2024-10-15 09:59:00,25161,25161,25170,25170,17750,2024-10-31 14:30:00,I
45,NIFTY,2024-10-15 10:00:00,25169,25152,25170,25160,46150,2024-10-31 14:30:00,I
46,NIFTY,2024-10-15 10:01:00,25161,25136,25161,25140,47875,2024-10-31 14:30:00,I
47,NIFTY,2024-10-15 10:02:00,25130,25123,25137,25128,54875,2024-10-31 14:30:00,I
48,NIFTY,2024-10-15 10:03:00,25127,25121,25140,25135,83550,2024-10-31 14:30:00,I
49,NIFTY,2024-10-15 10:04:00,25135,25134,25142,25139,24200,2024-10-31 14:30:00,I
50,NIFTY,2024-10-15 10:05:00,25139,25122,25139,25122,28450,2024-10-31 14:30:00,I
51,NIFTY,2024-10-15 10:06:00,25122,25122,25138,25135,31125,2024-10-31 14:30:00,I
52,NIFTY,2024-10-15 10:07:00,25135,25127,25139,25137,24050,2024-10-31 14:30:00,I
53,NIFTY,2024-10-15 10:08:00,25137,25135,25142,25142,19725,2024-10-31 14:30:00,I
54,NIFTY,2024-10-15 10:09:00,25142,25138,25145,25141,19575,2024-10-31 14:30:00,I
55,NIFTY,2024-10-15 10:10:00,25141,25131,25141,25134,16625,2024-10-31 14:30:00,I
56,NIFTY,2024-10-15 10:11:00,25134,25131,25142,25136,11250,2024-10-31 14:30:00,I
57,NIFTY,2024-10-15 10:12:00,25137,25135,25140,25137,8250,2024-10-31 14:30:00,I
58,NIFTY,2024-10-15 10:13:00,25138,25138,25149,25145,15200,2024-10-31 14:30:00,I
59,NIFTY,2024-10-15 10:14:00,25144,25131,25144,25132,15350,2024-10-31 14:30:00,I
60,NIFTY,2024-10-15 10:15:00,25132,25125,25140,25140,27050,2024-10-31 14:30:00,I
61,NIFTY,2024-10-15 10:16:00,25143,25140,25149,25147,15425,2024-10-31 14:30:00,I
62,NIFTY,2024-10-15 10:17:00,25147,25140,25150,25148,15625,2024-10-31 14:30:00,I
63,NIFTY,2024-10-15 10:18:00,25148,25137,25150,25145,11275,2024-10-31 14:30:00,I
64,NIFTY,2024-10-15 10:19:00,25141,25140,25145,25142,5050,2024-10-31 14:30:00,I
65,NIFTY,2024-10-15 10:20:00,25142,25135,25147,25135,18900,2024-10-31 14:30:00,I
66,NIFTY,2024-10-15 10:21:00,25135,25124,25135,25134,29225,2024-10-31 14:30:00,I
67,NIFTY,2024-10-15 10:22:00,25132,25126,25138,25132,19750,2024-10-31 14:30:00,I
68,NIFTY,2024-10-15 10:23:00,25135,25130,25146,25146,7950,2024-10-31 14:30:00,I
69,NIFTY,2024-10-15 10:24:00,25146,25138,25146,25139,6950,2024-10-31 14:30:00,I
70,NIFTY,2024-10-15 10:25:00,25140,25135,25144,25139,5700,2024-10-31 14:30:00,I
71,NIFTY,2024-10-15 10:26:00,25138,25130,25140,25130,10825,2024-10-31 14:30:00,I
72,NIFTY,2024-10-15 10:27:00,25130,25124,25131,25129,13325,2024-10-31 14:30:00,I
73,NIFTY,2024-10-15 10:28:00,25129,25117,25129,25120,33775,2024-10-31 14:30:00,I
74,NIFTY,2024-10-15 10:29:00,25118,25102,25119,25107,83850,2024-10-31 14:30:00,I
75,NIFTY,2024-10-15 10:30:00,25108,25090,25108,25093,57000,2024-10-31 14:30:00,I
