,id,uid,sid,sname,time,key,value,date_time
0,7059,9263,297,Delta,2025-03-03,StdlSeries,"03-03-2025|616.7,602.6,598.85,604.7,603.50,603.50,606.95,607.95,612.00,612.20,611.55,615.4,618.50,614.5,612.45,611.85,610.85,610.55,608.95,609.55,608.05,608.75,607.5,609.05,609.75,609.05,610.80,612.10,609.15,614.55,616.95,614.00,625,623.15,619.9,621.5,620.4,617.05,615.15,614.05,612.35,610.05,615.05,613,615.15,620.95,618.75,617.4,617.65,617.6,617.85,617.6,618.55,618.95,620.00,618.15,618.55,615.9,616.25,619.35,618.35,612.65,613.65,615.45,614,617.9,613.15,615.4,620.55,619.85,619.95,620.1,616.1,615.75,618.60,617.3,617.2,617.05,615.1,617.45,617.90,618.95,617.25,616.55,618.30,617.55,616.60,620.95,619.10,618.40,618.6,618.35,617.20,617.75,618.9,617.45,618.95,617.1,621.25,617.3,617.6,616.90,615.95,614.80,614.25,615.0,616,616.90,617.00,615.2,614.15,613.05,614.2,615.5,617.55,618.1,621.95,620.50,614.7,613.65,616.30,614.65,613.4,616.4,615.15,614.25,616.3,614.40,613.20,613.50,612.80,609,610.85,610.65,608.2,612.55,611.55,610.55,610.25,609.90,610.75,610.85,611.35,611.75,612.3,612.55,613.0,612.45,611.85,611.55,610.20,612.35,611.40,612.5,610.65,611.45,611.65,612.55,612.90,611.1,611.35,610.75,612.40,610.70,610.55,611.60,611.40,617.7,611.40,606.5,610.55,607.95,608.10,611,610.25,609.85,611.65,610.15,607.9,607.95,607.35,608.55,607.55,607.55,607.15,605.45,607.0,607.75,607.25,607.40,607.85,606.80,608.7,607.65,608.25,608.25,606.7,610.45,607.70,610,610.00,609.25,609.50,607.20,607.7,607.9,610.60,609.2,609.60,610.5,603.15,601.50,600.95,604.20,601.95,601.15,602.50,602.55,603.3,603,603.15,605.85,605,610.05,610.35,610.25,601.15,608.0,607.20,609.95,601.8,601.75,601.25,601.6,602.40,602.05,603.50,602.70,600.95,602.20,603.45,602.80,600.0,600.55,598.2,598.25,596.80,599.05,601.95,598.25,599.8,599.90,598.35,597.3,604.05,597.2,606.15,601.05,602.55,602.6,603.55,603.50,602.5,598.9,596.25,599.80,599.50,591.70,590.25,592.4,595.65,594.05,592.15,591.60,592.85,592.55,594.65,595.55,594.70,595.7,596,605.35,605.35,600.45,600.15,598.4,601.50,600.65,599.65,600.15,599.0,600.35,599.75,598.20,599.3,597.95,598.35,589.65,592.70,592.40,591.6,595.4,593.55,595.3,594.05,589.15,595.95,594.95,587.00,589.25,589.3,590.2,590.05,591.85,591.2,593.3,590.75,591.00,589.4,590.25,589.55,588.55,587.60,596.75,587.8,587.8,587.9,588.05,587.85,588.95,588.85,591.7,589.15,588.45,591.15,588.70,585.65,587.25,586.7,586.55,587.75,587.95,589.20,596.1,592.10,596.75,596.40,598.90,590.80,592.10,593.1,591.55,590.55,591.45,593.15,592.4,592.7,593.20,593.95,594.95,595.85,595.95,592.05,591.1,590.95,591.75,591.2,591.30,591.05,592.6,591.9,589.30,590.60,587.50,586.25",2025-03-03 15:39:59.953526
1,7062,9263,298,Delta,2025-03-03,StdlSeries,"03-03-2025|264.15,257.40,254.35,257.35,255.10,256,257.70,262.10,263.25,261.5,262.6,263.70,263.6,262.2,259.65,260.4,260.1,258.6,258.1,257.30,257.75,255.3,253.1,255.65,257.15,256.55,253.65,253.85,253.95,262.1,267.05,264.7,276.3,276.15,273.45,275.9,271.85,268.10,266.6,263.80,260.55,258.45,260.25,259.65,260.2,268.85,268.65,268.4,267.85,268.55,268.3,267.4,267.7,270.1,269.20,268.65,267.55,267.60,267.90,268.95,267.95,264.75,263.75,263.0,264.20,262.05,262.05,260.45,261.65,262.9,262.75,261.80,261.05,263.05,263.4,261.0,260.75,261.05,260.85,260.75,262.00,261.75,262.25,264.2,262.3,262.55,261.65,264.85,262.75,261.15,260.95,259.15,259.75,261.0,263.3,263.45,263.25,261.85,260.60,259.75,260.55,259.65,258.55,259.0,258.3,258.6,258.25,260.25,258.1,258.75,257.85,256.20,254.20,254.05,255.05,256.25,259.75,264.4,255.75,254.55,257.1,257.95,254.60,257.35,256.05,257.95,257.15,256.5,254.65,253.85,253.1,252.75,251.75,251.50,250.95,251.55,250.45,249.75,249.9,249.50,250.85,250.65,249.85,249.95,248.6,249.35,249.85,248.9,249.95,249.35,248.2,246.2,248.15,248.8,247.60,249.2,248.65,249.7,249.60,249.2,250.25,250.05,250.6,249.30,250.15,251.85,249.80,253.8,248.50,247.45,245.95,246.3,246.3,246.0,245.55,246.8,246.10,244.8,243.35,246.1,245.4,246.05,244.45,245.80,244.95,245.75,246.65,246.0,244.65,245.85,247.75,245.90,245.80,246.5,245.65,245.65,247.05,248.55,245.70,242.35,244.4,248.6,247.25,247.9,247.3,247.85,247.9,247.7,248.50,248.65,244.5,244.0,243.85,246.7,243.8,244.2,244.50,245.75,245,246.35,247.65,248.20,247,252.30,251.9,244.75,243.85,249.3,249.05,242.55,242.65,242.2,241.75,240.65,239.7,239.65,239.9,239.5,239.50,241.55,240.05,239.30,239.75,239.55,238.10,237.05,237.45,234.7,235.35,235.1,235.40,235.55,235.35,235.35,242.7,242.9,240.25,240.25,240.15,239.1,240.40,238.90,239.95,234.85,239.0,240.65,240.2,233.65,238.55,233.1,231.65,233.10,231.35,232.30,232.25,232.55,233.25,233.65,234.65,233.65,241.40,240.1,240.3,239.30,238.85,238.1,238.05,238.25,237.25,236.30,236.9,236.80,235.55,233.35,234.15,233.00,235.6,228.70,231.35,230.6,232.10,238.25,235.70,235.15,234.80,235.25,233.6,234.2,227.35,228.6,230.1,230.8,230.15,231.55,231.4,232.00,231.75,231.75,230.85,230.75,230.2,230.00,229.2,236.40,230.75,232.30,231.95,238.55,238.55,233.05,232.65,233.0,233.90,241.1,241.20,232.90,233.05,239.15,239.85,232.15,233.65,240.15,240.55,239.9,234.70,239.95,239.35,239.60,239.50,241.60,235.85,234.90,236.15,235.95,238.2,236.9,243.80,237.15,236.60,237.15,237.8,235.90,238.95,231.5,232.8,232.95,233.2,234.55,235.6,235.2,234.7,234.15,231.3,229.15,224.15",2025-03-03 15:39:59.953526
2,7063,9263,299,Delta,2025-03-03,StdlSeries,"03-03-2025|759.70,755.45,753.85,767.50,759.7,766.05,759.9,758.6,770.20,772.65,767.65,763.55,772.25,772.3,783.8,780.35,780.35,785.6,775.95,782.15,768.75,762.30,771.05,764.4,764.4,764.4,761.50,766.40,761.75,771.6,768.60,773.9,772.6,782.00,763.7,768.5,765.25,773.55,776.60,763.4,771.65,755.60,755.60,759.75,759.75,775.4,772.8,777.6,778.0,777.7,782.50,778.15,781.8,779.60,784.9,784.15,781.70,785.05,778.10,778.6,783.65,787.30,791.25,800.10,769.70,771.90,778.55,784.8,777.5,785.65,780.95,777.85,776.2,761.85,775.35,774.70,774.70,774.2,772.95,777.60,791.25,791.25,778.9,778.9,778.9,773.8,773.8,773.8,773.8,779.05,773.65,773.65,780,769.05,769.05,769.05,774.55,774.55,774.0,772.05,772.05,772.05,780.55,780,780,780,780,773.95,765.65,769.00,778.05,772.55,777.45,767.65,772,775.8,776.75,772.05,772.60,768.50,775.75,775.3,770.05,769.80,769.7,774.7,769.85,770.65,766.70,769.45,764.0,763.25,764.40,766.65,764,767.95,768.95,769.95,763.70,765.10,761.25,757.35,764.50,763.90,763.50,765.85,761.75,757.6,763.65,762.6,762.6,760.15,765.25,767.40,770.65,760.6,762.95,758.35,765.95,759.80,760.15,767.55,765.90,765.55,763.50,762.25,760.95,764.50,761.40,761.1,769.10,763.25,762.70,755.00,752.60,752.60,752.60,752.60,742.00,757.60,748.00,748.00,757.55,757.55,745.65,751.55,751.55,752.8,754.75,755.75,759.35,757.3,759.55,752.6,751.3,749.85,749.85,741.65,751.65,730.70,730.70,730.70,739.15,747.85,748.85,748.35,747.9,747.9,740.7,743.5,752,767.65,765,738,738,745.5,731.65,748.45,746.35,745.85,743.75,743.15,737.25,750,750,746.8,745,747.9,750.00,750.00,740.35,743.40,746.30,740,737.5,742.75,754.15,754.15,740.4,740.4,740.4,740.4,737.0,736.65,736.65,739.2,728.25,734.55,737.2,739.05,739.05,739.85,740.7,740.05,745.2,744.95,738.35,738.35,741.85,741,749.55,743.40,743.40,736.95,737.40,740.5,737.9,733.95,734.1,740.5,742.7,738,738,737.70,732.45,727.2,727.2,737.55,731.8,740.25,736.5,744.6,739.3,741.2,737.85,737.40,739.5,731,731,725,725,740,734.25,734.25,738.55,736.55,729.85,742.8,735.15,735.65,742.8,742.8,735.45,735.45,734.2,743.3,742.0,734.2,739.4,739.4,739.4,730.55,733.6,737.35,734.70,734.70,734.70,734.70,745.20,745.20,742.95,740.85,740.85,742.85,733.50,733.50,742.85,742.85,742.85,728.55,727.30,727.30,727.30,727.30,727.30,727.30,727.30,727.30,727.30,727.30,727.30,729.50,720.05,720.05,731.2,736.70,736.95,736.95,736.95,736.95,730.25,730.25,734.65,737.25,737.25,739.35,737.25,737.25,741.85,743.15,741.45,745.05,740.60,741.25,733.35,735.1,735.1,735.1,735.55,743.65,747.0,739.10,741.95,748.30,739.00",2025-03-03 15:39:59.953526
3,7072,9263,296,Delta,2025-03-03,StdlSeries,"03-03-2025|1579.75,1586.05,1578.5,1579.7,1576.25,1588.0,1592.8,1589.65,1611.15,1602.85,1610.05,1604.75,1601.20,1600.85,1595.70,1587.2,1594.0,1595.05,1593.05,1591.3,1587,1590.65,1586.95,1592.75,1595.2,1580.9,1580.15,1587.55,1586.4,1599.7,1602.5,1599.90,1605.10,1605.05,1596.7,1608.9,1601.75,1608.35,1597.95,1601.55,1592.10,1593.80,1590.15,1588.80,1589.85,1610.7,1612.65,1607.65,1606.40,1609.55,1611.55,1605.25,1611.50,1612.65,1608.45,1605.8,1604.6,1605.6,1608.7,1610.4,1610.6,1603.4,1598.95,1596.30,1589.25,1589.95,1587.65,1593.6,1597.6,1600.30,1597.00,1595.55,1588.85,1586.80,1583.4,1586.5,1589.0,1584.85,1592.20,1590.75,1596.65,1591.25,1592.90,1592.50,1589.20,1590.05,1589.05,1598.65,1599.05,1599.10,1593.8,1583.25,1583.9,1587.45,1587.7,1588.40,1589.0,1587.90,1592.05,1592.00,1589.1,1594.55,1590.6,1593.95,1590.15,1588.5,1590.6,1594.25,1595.2,1592.6,1594.4,1591.3,1590.90,1592,1595.6,1590.95,1608.55,1606.25,1596.1,1595,1595.55,1598.00,1591.35,1594.85,1592.65,1591.9,1597.7,1599.1,1588.85,1586.65,1589.05,1590.8,1584.50,1588.2,1586.05,1583.40,1585.00,1581.55,1582.45,1578.00,1586.00,1586.00,1582.5,1581.85,1583.90,1581.7,1580.95,1583.2,1580.9,1583.25,1580.70,1578.90,1585.15,1584.45,1582.20,1581.75,1583.25,1579.85,1580.9,1584.8,1587.85,1585.5,1584.40,1586,1586.85,1583.85,1583.10,1584.50,1582.45,1577.75,1577.75,1577.5,1572.25,1573.65,1571.45,1571.75,1579.1,1572.65,1570.95,1562.3,1571.70,1572.75,1568.2,1563.25,1563.25,1568.75,1562.9,1558.2,1554.8,1561.85,1566.85,1567.6,1561.15,1564.9,1561.90,1559.05,1560.95,1560.4,1561.1,1550.45,1550.8,1557.05,1559.25,1555.45,1555.75,1555.70,1557.6,1562.05,1557.85,1558.95,1554.10,1554.1,1550.8,1551.85,1548.4,1549.6,1548.85,1558.9,1552.35,1555,1560.8,1566.1,1566.15,1563.25,1565.65,1559.1,1558.50,1554.7,1553.90,1556.25,1554.10,1552.75,1554.6,1548.35,1548.65,1545.90,1543.6,1544.95,1554.7,1544.65,1541.6,1544.65,1540.6,1538.50,1534.35,1532.45,1535.15,1534.90,1535.7,1534.60,1539.5,1543.70,1538.85,1539.25,1539.55,1534.35,1535.3,1539.75,1533.4,1536.45,1532.70,1532.30,1535.1,1533.2,1532,1532.95,1532.55,1530.25,1528.6,1529.7,1529.05,1526.70,1529.95,1530.50,1533.10,1525.4,1528.05,1531.05,1535.15,1535.55,1539.65,1540.6,1538.4,1536.55,1543.05,1544.2,1541.10,1535.55,1529.8,1529.65,1527.85,1535.8,1542.35,1540.05,1541.0,1538,1530.55,1525.80,1530.35,1526.7,1530.65,1533.90,1530,1528.95,1524.35,1524.45,1521.65,1520.80,1518.10,1525.65,1525.35,1528.35,1529.00,1520.5,1528,1534.55,1534.8,1535.35,1527.6,1527.80,1526.45,1527.65,1527.10,1526.85,1527.75,1525.45,1526.65,1531.20,1529.5,1531.4,1528.75,1531.25,1534.65,1531.5,1532.90,1531.1,1531.85,1530.10,1530.35,1528.75,1528.9,1527.3,1531.4,1530.2,1527.85,1528.70,1528.0,1529.85,1530.30,1531.7,1532.85,1531.5,1534.8,1536.5,1538.35,1541.75,1540.90,1537.05,1539.60,1544.05,1543.4,1541.55,1538.05,1537.65,1535.75,1536.2,1543.6,1542.35,1542.85,1546.50,1546.50,1539.3,1542.75,1536.55,1530.85",2025-03-03 15:39:59.953526
4,7074,9263,300,Delta,2025-03-03,StdlSeries,"03-03-2025|602.55,605.45,606.10,606.9,602.95,602.45,605.6,604.55,610.6,613.10,617.75,617.7,614.05,614.2,611.05,610.95,614.8,618.25,613.75,616.4,615.65,611.50,621.15,616.15,611.55,616.15,614.0,609.25,603.55,612.5,615.65,617.3,613.55,614.35,618.4,613.35,616.5,622.4,612.30,624.45,615.0,611,610.65,614.8,605.25,607.2,605.7,611.90,607.75,609.20,613.45,611.45,607.55,602.85,610.5,603.9,603.15,608.95,600.65,607.95,607.00,604.45,602.35,604.15,601.90,605.9,599.55,600.95,597.75,599.00,598.35,589.85,587.4,583.60,595.55,601.25,593.10,598.05,603.4,600.1,604.70,597.45,605.3,608.35,608.45,604.15,604.15,605.15,605.45,600.15,600.6,600.1,599.25,604.3,602.2,602.6,605.3,604.75,602,604.85,607.25,599,598,600.35,597.60,601.80,605.60,602.95,601.15,604.40,602.15,599.35,597.1,598.7,600.55,596.7,597.1,598.65,596.75,595.90,601.75,596.50,596.50,598,590.75,600.05,597.55,598.00,606.85,598,599.85,598.70,591.35,594.95,594.30,597.10,597.10,590,592.75,591.15,593.7,593.3,593.55,595,588.95,599.15,599.15,594.25,597.85,600.4,596.05,590.1,592.90,595.5,592.75,596.30,592.50,592.35,592.45,592.9,591.6,593.9,592.5,591.50,593.00,593.35,594.60,599.30,595.90,595.00,593.25,591.05,591.45,595.45,591.55,587.45,588.35,588.35,591.9,588.75,588.05,590.6,587.60,597.05,591.25,590.85,591.4,591.5,588.15,597.00,594.2,599.55,596.75,590.35,590.35,594.30,593.35,588.35,596.4,588.75,589.05,592.95,599.45,594.8,595.4,600.25,596.7,596.9,594.45,595.6,623.30,592,594.1,591.80,592.80,590.50,590.5,597.45,604.05,595.15,596.5,599.15,601.90,597.05,600.85,599.7,599.75,597.35,599.40,596.75,596.75,599.80,593.75,591.85,590,588.20,590.70,594.65,598.7,598.10,602.1,605.95,600.5,599.55,600.2,600.85,602.1,603.4,600.8,601.85,603.5,598.60,596.65,597.45,596.00,601.55,597.8,595.85,596.55,598.55,597.40,598.75,598.5,597.45,601.2,601.80,596.25,591.05,586.6,591.05,594.45,594.3,594.6,586.5,590.75,593.65,595.8,594.85,590.45,594.55,597.70,597.2,595.70,596.15,597.20,595.15,598.35,594.35,594.05,597.15,593.20,600.2,596.55,591.50,589.15,595.40,594.65,594,596.15,597.60,599.2,595.6,591.65,598.05,591,592.55,591.50,592.05,595.15,595.20,593.6,597.1,596.95,595.60,595.10,595.95,593.35,594.05,593.05,594.6,594.1,594.75,594.80,590.2,594,591.50,595.2,588.2,588.45,579.85,579.85,582.05,587.05,590.35,586.90,592.75,580.95,592.40,592.4,593.15,593.15,592.40,592.65,588.85,592.65,591.45,590.1,594.55,589.75,586.45,590.00,588.45,584.9,583.3,586.35,584.65,583.4,584.35,585.45,586.35,588.80,589.15,589.30,588.65,588.65,584.2,585.80,584.0,585.3,583.95,586.75,584.2,585.05,586.5,591.8",2025-03-03 15:39:59.953526
