,symbol
338,BHARATWIRE
339,BHARTIARTL
340,BHARTIHEXA
341,BHEL
342,BIGBLOC
343,BIKAJI
344,BIL
345,BILENERGY
346,BINANIIND
347,BINDALAGRO
348,BIOCON
349,BIOFILCHEM
350,BIRLACABLE
351,BIRLACORPN
352,BIRLAMONEY
353,BIRLATYRE
354,BKMINDST
355,BLACKBUCK
356,BLAL
357,BLBLIMITED
358,BLISSGVS
359,BLKASHYAP
360,BLS
361,BLSE
362,BLUECHIP
363,BLUECOAST
364,BLUEDART
365,BLUEJET
366,BLUESTARCO
367,BODALCHEM
368,BOHRAIND
369,BOMDYEING
370,BOROLTD
371,BORORENEW
372,BOROSCI
373,BOROSIL
374,BOSCHLTD
375,BPCL
376,BPL
377,BRFL
378,BRIGADE
379,BRITANNIA
380,BRNL
381,BROOKS
382,BSE
383,BSE500IETF
384,BSELINFRA
385,BSHSL
386,BSL
387,BSLGOLDETF
388,BSLNIFTY
389,BSLSENETFG
390,BSOFT
391,BTML
392,BURGERKING
393,BURNPUR
394,BUTTERFLY
395,BVCL
396,BYKE
397,CADILAHC
398,CALSOFT
399,CAMLINFINE
400,CAMPUS
401,CAMS
402,CANBK
403,CANFINHOME
404,CANTABIL
405,CAPACITE
406,CAPITALSFB
407,CAPLIPOINT
408,CAPTRUST
409,CARBORUNIV
410,CAREERP
411,CARERATING
412,CARRARO
413,CARTRADE
414,CARYSIL
415,CASTEXTECH
416,CASTROLIND
417,CCCL
418,CCHHL
419,CCL
420,CDSL
421,CEATLTD
422,CEBBCO
423,CEIGALL
424,CELEBRITY
425,CELLO
426,CENTENKA
427,CENTEXT
428,CENTRALBK
429,CENTRUM
430,CENTUM
431,CENTURYPLY
432,CENTURYTEX
433,CERA
434,CEREBRAINT
435,CESC
436,CESCVENT
437,CEWATER
438,CGCL
439,CGPOWER
440,CHALET
441,CHAMBLFERT
442,CHEMBOND
443,CHEMCON
444,CHEMFAB
445,CHEMPLASTS
446,CHENNPETRO
447,CHEVIOT
448,CHOICEIN
449,CHOLAFIN
450,CHOLAHLDNG
451,CHROMATIC
452,CIEINDIA
453,CIGNITITEC
454,CIMMCO
455,CINELINE
456,CINEVISTA
457,CIPLA
458,CKFSL
459,CLEAN
460,CLEDUCATE
461,CLNINDIA
462,CLSEL
463,CMICABLES
464,CMSINFO
465,CNOVAPETRO
466,COALINDIA
467,COASTCORP
468,COCHINSHIP
469,COFFEEDAY
470,COFORGE
471,COLPAL
472,COMMOIETF
473,COMPINFO
474,COMPUSOFT
475,COMSYN
476,CONCOR
477,CONCORDBIO
478,CONFIPET
479,CONS
480,CONSOFINVT
481,CONSUMBEES
482,CONSUMER
483,CONSUMIETF
484,CONTROLPR
485,CORALFINAC
486,CORDSCABLE
487,COROMANDEL
488,CORPBANK
489,COSMOFILMS
490,COSMOFIRST
491,COUNCODOS
492,CPSEETF
493,CRAFTSMAN
494,CREATIVE
495,CREATIVEYE
496,CREDITACC
497,CREST
498,CRISIL
499,CROMPTON
500,CROWN
501,CSBBANK
502,CSLFINANCE
503,CTE
504,CUB
505,CUBEXTUB
506,CUMMINSIND
507,CUPID
508,CYBERMEDIA
509,CYBERTECH
510,CYIENT
511,CYIENTDLM
512,DAAWAT
513,DABUR
514,DALBHARAT
515,DALMIASUG
516,DAMCAPITAL
517,DAMODARIND
518,DANGEE
519,DATAMATICS
520,DATAPATTNS
521,DAVANGERE
522,DBCORP
523,DBEIL
524,DBL
525,DBOL
526,DBREALTY
527,DBSTOCKBRO
528,DCAL
529,DCBBANK
530,DCI
531,DCM
532,DCMFINSERV
533,DCMNVL
534,DCMSHRIRAM
535,DCMSRIND
536,DCW
537,DCXINDIA
538,DDEVPLSTIK
539,DECCANCE
540,DEEDEV
541,DEEPAKFERT
542,DEEPAKNTR
543,DEEPENR
544,DEEPIND
545,DEEPINDS
546,DELHIVERY
547,DELPHIFX
548,DELTACORP
549,DELTAMAGNT
550,DEN
551,DENORA
552,DENTA
553,DEVIT
554,DEVYANI
555,DFMFOODS
556,DGCONTENT
557,DHAMPURSUG
558,DHANBANK
559,DHANI
560,DHANUKA
561,DHANVARSHA
562,DHARAMSI
563,DHARMAJ
564,DHARSUGAR
565,DHFL
566,DHRUV
567,DHUNINV
568,DIACABS
569,DIAMINESQ
570,DIAMONDYD
571,DICIND
572,DIFFNKG
573,DIGIDRIVE
574,DIGISPICE
575,DIGJAMLMTD
576,DIL
577,DISHTV
578,DIVGIITTS
579,DIVISLAB
580,DIVOPPBEES
581,DIXON
582,DJML
583,DLF
584,DLINKINDIA
585,DMART
586,DMCC
587,DNAMEDIA
588,DODLA
589,DOLAT
590,DOLATALGO
591,DOLLAR
592,DOLPHIN
593,DOMS
594,DONEAR
595,DPABHUSHAN
596,DPSCLTD
597,DPWIRES
598,DQE
599,DRCSYSTEMS
600,DREAMFOLKS
601,DREDGECORP
602,DRREDDY
603,DSPBANKETF
604,DSPGOLDETF
605,DSPITETF
606,DSPN50ETF
607,DSPNEWETF
608,DSPPSBKETF
609,DSPPVBKETF
