,symbol,available_days,first_trading_day,last_trading_day
124,ALPHAGEO,1160,2020-01-01,2025-02-18
125,ALPL30IETF,297,2023-12-20,2025-03-03
126,ALPSINDUS,278,2020-03-06,2024-05-06
127,AMARAJABAT,941,2020-01-01,2023-10-26
128,AMBER,1274,2020-01-01,2025-03-03
129,AMBICAAGAR,771,2021-04-29,2025-03-03
130,AMBIKCO,1274,2020-01-01,2025-03-03
131,AMBUJACEM,1274,2020-01-01,2025-03-03
132,AMDIND,1060,2020-01-01,2025-03-03
133,AMIORG,857,2021-09-14,2025-03-03
134,AMJLAND,1209,2020-01-01,2025-03-03
135,AMNPLST,323,2023-11-10,2025-03-03
136,AMRUTANJAN,1274,2020-01-01,2025-03-03
137,ANANDRATHI,796,2021-12-14,2025-03-03
138,ANANTRAJ,1169,2020-01-01,2025-03-03
139,ANDHRABANK,53,2020-01-01,2020-03-19
140,ANDHRACEMT,437,2020-01-01,2023-03-02
141,ANDHRAPAP,1230,2020-03-05,2025-03-03
142,ANDHRSUGAR,1274,2020-01-01,2025-03-03
143,ANDPAPER,27,2020-01-22,2020-03-04
144,ANDREWYU,549,2021-08-05,2023-10-25
145,ANGELBRKG,271,2020-10-05,2021-11-10
146,ANGELONE,818,2021-11-11,2025-03-03
147,ANIKINDS,940,2020-01-01,2025-03-03
148,ANKITMETAL,424,2020-03-04,2024-05-07
149,ANMOL,776,2021-06-04,2025-03-03
150,ANSALAPI,465,2020-01-01,2022-09-21
151,ANSALHSG,540,2020-03-04,2022-10-12
152,ANTGRAPHIC,359,2022-08-23,2025-03-03
153,ANUHPHR,51,2024-12-20,2025-03-03
154,ANUP,1274,2020-01-01,2025-03-03
155,ANURAS,973,2021-03-24,2025-03-03
156,APARINDS,1274,2020-01-01,2025-03-03
157,APCL,1274,2020-01-01,2025-03-03
158,APCOTEXIND,1274,2020-01-01,2025-03-03
159,APEX,1274,2020-01-01,2025-03-03
160,APLAPOLLO,1274,2020-01-01,2025-03-03
161,APLLTD,1274,2020-01-01,2025-03-03
162,APOLLO,1105,2020-01-01,2025-03-03
163,APOLLOHOSP,1274,2020-01-01,2025-03-03
164,APOLLOPIPE,1274,2020-01-01,2025-03-03
165,APOLLOTYRE,1274,2020-01-01,2025-03-03
166,APOLSINHOT,1193,2020-01-01,2025-03-03
167,APTECHT,1274,2020-01-01,2025-03-03
168,APTUS,871,2021-08-24,2025-03-03
169,ARCHIDPLY,918,2020-01-01,2025-03-03
170,ARCHIES,958,2020-01-01,2025-03-03
171,ARCOTECH,67,2020-03-04,2020-12-16
172,ARE&M,333,2023-10-27,2025-03-03
173,ARENTERP,930,2020-01-14,2024-12-11
174,ARIES,1222,2020-01-01,2024-12-18
175,ARIHANT,451,2020-01-01,2022-02-03
176,ARIHANTCAP,919,2021-06-15,2025-03-03
177,ARIHANTSUP,1174,2020-01-01,2025-03-03
178,ARKADE,110,2024-09-24,2025-03-03
179,ARMANFIN,1274,2020-01-01,2025-03-03
180,AROGRANITE,1212,2020-01-01,2025-03-03
181,ARROWGREEN,964,2020-01-01,2025-02-13
182,ARROWTEX,1,2020-01-01,2020-01-01
183,ARSHIYA,711,2020-01-01,2023-12-13
184,ARSSINFRA,483,2020-01-01,2022-05-24
185,ARTEMISMED,1174,2020-02-06,2025-03-03
186,ARTNIRMAN,447,2021-10-20,2024-12-11
187,ARVEE,461,2021-03-22,2025-03-03
188,ARVIND,1274,2020-01-01,2025-03-03
189,ARVINDFASN,1274,2020-01-01,2025-03-03
190,ARVSMART,1218,2020-01-01,2025-03-03
191,ASAHIINDIA,1274,2020-01-01,2025-03-03
192,ASAHISONG,1209,2020-01-01,2025-03-03
193,ASAL,965,2020-01-01,2025-03-03
194,ASALCBR,1244,2020-02-12,2025-03-03
195,ASHAPURMIN,1114,2020-01-01,2025-03-03
196,ASHIANA,1274,2020-01-01,2025-03-03
197,ASHIMASYN,993,2020-01-01,2025-03-03
198,ASHOKA,1274,2020-01-01,2025-03-03
199,ASHOKAMET,194,2023-06-27,2025-03-03
200,ASHOKLEY,1274,2020-01-01,2025-03-03
201,ASIANENE,704,2021-12-09,2025-03-03
202,ASIANHOTNR,958,2020-01-01,2024-12-27
203,ASIANPAINT,1274,2020-01-01,2025-03-03
204,ASIANTILES,1274,2020-01-01,2025-03-03
205,ASKAUTOLTD,321,2023-11-15,2025-03-03
206,ASMS,279,2023-03-01,2025-03-03
207,ASPINWALL,1273,2020-01-01,2025-03-03
208,ASTEC,1274,2020-01-01,2025-03-03
209,ASTERDM,1274,2020-01-01,2025-03-03
210,ASTRAL,1274,2020-01-01,2025-03-03
211,ASTRAMICRO,1274,2020-01-01,2025-03-03
212,ASTRAZEN,1274,2020-01-01,2025-03-03
213,ASTRON,1071,2020-01-01,2025-03-03
214,ATALREAL,174,2023-05-12,2025-03-03
215,ATAM,334,2023-05-10,2025-03-03
216,ATFL,1274,2020-01-01,2025-03-03
217,ATGL,844,2021-01-13,2025-03-03
218,ATL,375,2023-08-25,2025-03-03
219,ATLANTA,665,2020-01-01,2023-12-13
220,ATLANTAA,21,2024-03-18,2024-04-19
221,ATLASCYCLE,7,2025-01-03,2025-01-13
222,ATUL,1274,2020-01-01,2025-03-03
223,ATULAUTO,1217,2020-01-01,2025-03-03
224,AUBANK,1274,2020-01-01,2025-03-03
225,AURIONPRO,995,2020-01-01,2025-03-03
226,AUROPHARMA,1274,2020-01-01,2025-03-03
227,AURUM,591,2021-10-22,2025-03-03
228,AUSOMENT,953,2020-03-04,2025-03-03
229,AUTOAXLES,1274,2020-01-01,2025-03-03
230,AUTOBEES,697,2022-05-10,2025-03-03
231,AUTOIETF,297,2023-12-20,2025-03-03
232,AUTOIND,994,2020-03-04,2025-03-03
233,AUTOLITIND,261,2020-01-01,2021-01-22
234,AVADHSUGAR,1274,2020-01-01,2025-03-03
235,AVALON,465,2023-04-18,2025-03-03
236,AVANTEL,148,2024-07-31,2025-03-03
237,AVANTIFEED,1274,2020-01-01,2025-03-03
238,AVG,415,2023-05-12,2025-01-15
239,AVL,81,2024-11-06,2025-03-03
240,AVONMORE,333,2023-01-04,2025-01-07
241,AVROIND,534,2022-04-07,2025-03-03
242,AVTNPL,1274,2020-01-01,2025-03-03
243,AWFIS,190,2024-05-30,2025-03-03
244,AWHCL,1029,2021-01-01,2025-03-03
245,AWL,686,2022-02-08,2025-03-03
246,AXISBANK,1274,2020-01-01,2025-03-03
247,AXISBNKETF,1064,2020-11-09,2025-03-03
248,AXISBPSETF,939,2021-05-18,2025-03-03
249,AXISCADES,1061,2020-01-01,2024-12-30
250,AXISCETF,850,2021-09-23,2025-03-03
251,AXISGOLD,1274,2020-01-01,2025-03-03
252,AXISHCETF,936,2021-05-21,2025-03-03
253,AXISILVER,600,2022-09-27,2025-03-03
254,AXISNIFTY,1270,2020-01-01,2025-03-03
255,AXISTECETF,969,2021-03-31,2025-03-03
256,AXITA,604,2022-06-21,2025-03-03
257,AXSENSEX,475,2023-03-29,2025-03-03
258,AYMSYNTEX,1142,2020-01-01,2025-03-03
259,AZAD,292,2023-12-28,2025-03-03
260,BAFNAPH,334,2020-03-17,2022-05-24
261,BAGFILMS,586,2020-03-04,2024-12-30
262,BAIDFIN,371,2023-01-20,2025-03-03
263,BAJAJ-AUTO,1274,2020-01-01,2025-03-03
264,BAJAJCON,1274,2020-01-01,2025-03-03
265,BAJAJELEC,1264,2020-01-01,2025-03-03
266,BAJAJFINSV,1274,2020-01-01,2025-03-03
267,BAJAJHCARE,809,2021-11-25,2025-03-03
268,BAJAJHFL,116,2024-09-16,2025-03-03
269,BAJAJHIND,1202,2020-01-01,2025-03-03
270,BAJAJHLDNG,1274,2020-01-01,2025-03-03
271,BAJEL,288,2024-01-03,2025-03-03
272,BAJFINANCE,1274,2020-01-01,2025-03-03
273,BALAJEE,108,2024-09-26,2025-03-03
274,BALAJITELE,1165,2020-01-01,2024-12-30
275,BALAMINES,1274,2020-01-01,2025-03-03
276,BALAXI,1106,2020-01-01,2025-03-03
277,BALKRISHNA,839,2020-01-01,2025-03-03
278,BALKRISIND,1274,2020-01-01,2025-03-03
279,BALLARPUR,82,2020-03-04,2020-11-27
280,BALMLAWRIE,1274,2020-01-01,2025-03-03
281,BALPHARMA,1042,2020-01-01,2025-03-03
282,BALRAMCHIN,1274,2020-01-01,2025-03-03
283,BALUFORGE,211,2024-04-29,2025-03-03
284,BANARBEADS,1213,2020-01-01,2024-12-05
285,BANARISUG,1274,2020-01-01,2025-03-03
286,BANCOINDIA,1274,2020-01-01,2025-03-03
287,BANDHANBNK,1274,2020-01-01,2025-03-03
288,BANG,1057,2020-01-01,2024-12-09
289,BANKA,839,2020-10-29,2025-03-03
290,BANKBARODA,1274,2020-01-01,2025-03-03
291,BANKBEES,1274,2020-01-01,2025-03-03
292,BANKBETF,271,2024-01-29,2025-03-03
293,BANKETF,396,2023-07-26,2025-03-03
294,BANKETFADD,258,2024-02-15,2025-03-03
295,BANKIETF,297,2023-12-20,2025-03-03
296,BANKINDIA,1274,2020-01-01,2025-03-03
297,BANKNIFTY1,235,2024-03-20,2025-03-03
298,BANKPSU,101,2024-10-08,2025-03-03
299,BANSALWIRE,162,2024-07-10,2025-03-03
300,BANSWRAS,1209,2020-03-04,2025-03-03
301,BARBEQUE,965,2021-04-07,2025-03-03
302,BASF,1274,2020-01-01,2025-03-03
303,BASML,1152,2020-01-01,2025-03-03
304,BATAINDIA,1274,2020-01-01,2025-03-03
305,BAYERCROP,1274,2020-01-01,2025-03-03
306,BBETF0432,793,2021-12-17,2025-03-03
307,BBL,1274,2020-01-01,2025-03-03
308,BBNPNBETF,174,2024-06-24,2025-03-03
309,BBNPPGOLD,296,2023-12-19,2025-03-03
310,BBOX,689,2021-12-03,2025-03-03
311,BBTC,1274,2020-01-01,2025-03-03
312,BBTCL,563,2022-11-23,2025-03-03
313,BCG,805,2020-03-04,2024-04-25
314,BCLIND,866,2021-03-04,2025-03-03
315,BCONCEPTS,407,2022-01-11,2025-03-03
316,BCP,673,2020-01-01,2023-04-28
317,BDL,1274,2020-01-01,2025-03-03
318,BEARDSELL,910,2020-01-01,2025-03-03
319,BECTORFOOD,1034,2020-12-24,2025-03-03
320,BEDMUTHA,1040,2020-03-04,2025-03-03
321,BEL,1273,2020-01-01,2025-03-03
322,BEML,1263,2020-01-01,2025-03-03
323,BEPL,1273,2020-01-01,2025-03-03
324,BERGEPAINT,1273,2020-01-01,2025-03-03
325,BESTAGRO,815,2021-02-22,2025-02-20
326,BFINVEST,1273,2020-01-01,2025-03-03
327,BFSI,370,2023-09-01,2025-03-03
328,BFUTILITIE,1211,2020-01-01,2025-03-03
329,BGRENERGY,1003,2020-01-01,2024-12-11
330,BHAGCHEM,834,2021-10-18,2025-03-03
331,BHAGERIA,1210,2020-01-01,2025-03-03
332,BHAGYANGR,1163,2020-01-01,2025-03-03
333,BHAGYAPROP,723,2020-01-01,2022-12-09
334,BHANDARI,1070,2020-01-01,2025-03-03
335,BHARATFORG,1273,2020-01-01,2025-03-03
336,BHARATGEAR,1180,2020-01-01,2025-03-03
337,BHARATRAS,1273,2020-01-01,2025-03-03
338,BHARATWIRE,1118,2020-01-01,2025-03-03
339,BHARTIARTL,1273,2020-01-01,2025-03-03
340,BHARTIHEXA,221,2024-04-12,2025-03-03
341,BHEL,1273,2020-01-01,2025-03-03
342,BIGBLOC,1027,2020-03-04,2025-03-03
343,BIKAJI,568,2022-11-16,2025-03-03
344,BIL,815,2020-01-01,2024-10-07
345,BILENERGY,223,2020-01-01,2020-11-27
346,BINANIIND,178,2023-03-02,2025-03-03
347,BINDALAGRO,830,2020-01-01,2023-05-18
348,BIOCON,1273,2020-01-01,2025-03-03
349,BIOFILCHEM,1032,2020-03-04,2025-03-03
350,BIRLACABLE,1203,2020-01-01,2025-03-03
351,BIRLACORPN,1273,2020-01-01,2025-03-03
352,BIRLAMONEY,1097,2020-01-01,2024-12-30
353,BIRLATYRE,525,2020-02-25,2022-05-24
354,BKMINDST,108,2020-01-01,2021-04-09
355,BLACKBUCK,71,2024-11-22,2025-03-03
356,BLAL,454,2023-05-04,2025-03-03
357,BLBLIMITED,947,2020-01-01,2025-03-03
358,BLISSGVS,1273,2020-01-01,2025-03-03
359,BLKASHYAP,1119,2020-01-01,2025-03-03
360,BLS,1210,2020-01-01,2025-03-03
361,BLSE,265,2024-02-06,2025-03-03
362,BLUECHIP,7,2021-04-12,2023-06-22
363,BLUECOAST,102,2020-04-13,2024-12-30
364,BLUEDART,1273,2020-01-01,2025-03-03
365,BLUEJET,330,2023-11-01,2025-03-03
366,BLUESTARCO,1273,2020-01-01,2025-03-03
367,BODALCHEM,1273,2020-01-01,2025-03-03
368,BOHRAIND,91,2022-11-11,2023-07-12
369,BOMDYEING,1273,2020-01-01,2025-03-03
370,BOROLTD,987,2020-11-24,2025-03-03
371,BORORENEW,1119,2020-02-20,2024-12-30
372,BOROSCI,174,2024-06-24,2025-03-03
373,BOROSIL,34,2020-01-01,2020-02-19
374,BOSCHLTD,1273,2020-01-01,2025-03-03
375,BPCL,1273,2020-01-01,2025-03-03
376,BPL,1013,2020-01-01,2025-03-03
377,BRFL,308,2020-01-27,2022-04-01
378,BRIGADE,1273,2020-01-01,2025-03-03
379,BRITANNIA,1273,2020-01-01,2025-03-03
380,BRNL,1130,2020-01-01,2025-03-03
381,BROOKS,777,2020-01-01,2025-03-03
382,BSE,1273,2020-01-01,2025-03-03
383,BSE500IETF,297,2023-12-20,2025-03-03
384,BSELINFRA,108,2020-01-01,2021-07-12
385,BSHSL,679,2020-10-28,2025-03-03
386,BSL,1086,2020-01-01,2025-02-19
387,BSLGOLDETF,1273,2020-01-01,2025-03-03
388,BSLNIFTY,1270,2020-01-01,2025-03-03
389,BSLSENETFG,841,2021-10-06,2025-03-03
390,BSOFT,1271,2020-01-01,2025-03-03
391,BTML,324,2023-02-15,2025-01-22
392,BURGERKING,292,2020-12-14,2022-02-16
393,BURNPUR,697,2020-01-01,2025-01-29
394,BUTTERFLY,1100,2020-01-01,2025-03-03
395,BVCL,321,2022-12-06,2025-03-03
