,symbol,available_days,first_trading_day,last_trading_day
537,DCXINDIA,514,2022-11-11,2025-03-03
538,DDEVPLSTIK,34,2025-01-15,2025-03-03
539,DECCANCE,1272,2020-01-01,2025-03-03
540,DEEDEV,172,2024-06-26,2025-03-03
541,DEEPAKFERT,1209,2020-01-01,2025-03-03
542,DEEPAKNTR,1272,2020-01-01,2025-03-03
543,DEEPENR,735,2020-09-30,2024-09-04
544,DEEPIND,181,2020-01-01,2020-09-29
545,DEEPINDS,943,2021-05-11,2025-03-03
546,DELHIVERY,687,2022-05-24,2025-03-03
547,DELPHIFX,705,2021-09-01,2024-11-26
548,DELTACORP,1272,2020-01-01,2025-03-03
549,DELTAMAGNT,1115,2020-01-01,2025-02-20
550,DEN,1272,2020-01-01,2025-03-03
551,DENORA,1202,2020-01-01,2025-03-03
552,DENTA,14,2025-02-11,2025-03-03
553,DEVIT,602,2022-02-15,2025-03-03
554,DEVYANI,876,2021-08-16,2025-03-03
555,DFMFOODS,796,2020-01-01,2023-03-27
556,DGCONTENT,717,2020-03-04,2024-06-26
557,DHAMPURSUG,1262,2020-01-01,2025-03-03
558,DHANBANK,1169,2020-01-01,2024-12-30
559,DHANI,1016,2020-10-28,2025-03-03
560,DHANUKA,1272,2020-01-01,2025-03-03
561,DHANVARSHA,79,2022-05-10,2022-08-30
562,DHARAMSI,228,2021-12-01,2022-11-01
563,DHARMAJ,552,2022-12-08,2025-03-03
564,DHARSUGAR,348,2020-01-01,2022-05-24
565,DHFL,352,2020-01-01,2021-06-11
566,DHRUV,637,2021-11-25,2025-02-05
567,DHUNINV,1272,2020-01-01,2025-03-03
568,DIACABS,10,2023-10-04,2025-01-17
569,DIAMINESQ,355,2023-09-25,2025-03-03
570,DIAMONDYD,1272,2020-01-01,2025-03-03
571,DICIND,1208,2020-01-01,2025-03-03
572,DIFFNKG,85,2024-10-18,2025-02-18
573,DIGIDRIVE,111,2024-01-24,2025-03-03
574,DIGISPICE,856,2020-01-01,2025-03-03
575,DIGJAMLMTD,100,2021-11-01,2022-03-28
576,DIL,598,2022-03-31,2024-12-02
577,DISHTV,1216,2020-01-01,2025-03-03
578,DIVGIITTS,485,2023-03-15,2025-03-03
579,DIVISLAB,1272,2020-01-01,2025-03-03
580,DIVOPPBEES,697,2022-05-10,2025-03-03
581,DIXON,1272,2020-01-01,2025-03-03
582,DJML,372,2022-12-05,2024-12-19
583,DLF,1272,2020-01-01,2025-03-03
584,DLINKINDIA,1272,2020-01-01,2025-03-03
585,DMART,1220,2020-01-01,2025-03-03
586,DMCC,529,2022-11-02,2024-12-24
587,DNAMEDIA,700,2020-03-04,2025-03-03
588,DODLA,910,2021-06-28,2025-03-03
589,DOLAT,480,2020-01-01,2021-12-17
590,DOLATALGO,792,2021-12-20,2025-03-03
591,DOLLAR,1272,2020-01-01,2025-03-03
592,DOLPHIN,26,2023-09-04,2025-02-20
593,DOMS,297,2023-12-20,2025-03-03
594,DONEAR,1162,2020-01-01,2025-03-03
595,DPABHUSHAN,1068,2020-11-03,2025-03-03
596,DPSCLTD,1272,2020-01-01,2025-03-03
597,DPWIRES,1201,2020-01-17,2025-03-03
598,DQE,150,2020-01-10,2021-01-01
599,DRCSYSTEMS,426,2021-03-25,2025-03-03
600,DREAMFOLKS,615,2022-09-06,2025-03-03
601,DREDGECORP,1161,2020-01-01,2025-03-03
602,DRREDDY,1272,2020-01-01,2025-03-03
603,DSPBANKETF,273,2023-01-06,2024-02-14
604,DSPGOLDETF,195,2023-05-05,2024-02-14
605,DSPITETF,147,2023-07-13,2024-02-14
606,DSPN50ETF,525,2021-12-30,2024-02-14
607,DSPNEWETF,559,2021-11-12,2024-02-14
608,DSPPSBKETF,133,2023-08-02,2024-02-14
609,DSPPVBKETF,133,2023-08-02,2024-02-14
610,DSPQ50ETF,526,2021-12-30,2024-02-14
611,DSPSENXETF,130,2023-08-02,2024-02-14
612,DSPSILVETF,363,2022-08-25,2024-02-14
613,DSSL,1215,2020-01-01,2025-03-03
614,DTIL,1272,2020-01-01,2025-03-03
615,DUCON,686,2020-01-01,2025-03-03
616,DVL,1220,2020-01-01,2025-03-03
617,DWARKESH,1272,2020-01-01,2025-03-03
618,DYCL,578,2022-07-27,2025-03-03
619,DYNAMATECH,1216,2020-01-01,2025-03-03
620,DYNPRO,1174,2020-01-01,2025-03-03
621,E2E,268,2022-04-12,2025-03-03
622,EASEMYTRIP,920,2021-03-19,2025-03-03
623,EASTSILK,233,2020-03-04,2022-06-14
624,EBANK,535,2020-01-01,2023-08-01
625,EBANKNIFTY,116,2024-09-16,2025-03-03
626,EBBETF0423,803,2020-01-02,2023-04-11
627,EBBETF0425,1136,2020-07-29,2025-03-03
628,EBBETF0430,1271,2020-01-02,2025-03-03
629,EBBETF0431,1136,2020-07-29,2025-03-03
630,EBBETF0433,546,2022-12-16,2025-03-03
631,EBIXFOREX,314,2020-05-27,2021-08-31
632,ECAPINSURE,41,2025-01-06,2025-03-03
633,ECLERX,1209,2020-01-01,2025-03-03
634,ECOSMOBLTY,124,2024-09-04,2025-03-03
635,EDELWEISS,1262,2020-01-01,2025-03-03
636,EGOLD,323,2023-11-10,2025-03-03
637,EICHERMOT,1272,2020-01-01,2025-03-03
638,EIDPARRY,1272,2020-01-01,2025-03-03
639,EIEL,66,2024-11-29,2025-03-03
640,EIFFL,776,2021-10-12,2025-03-03
641,EIHAHOTELS,1272,2020-01-01,2025-03-03
642,EIHOTEL,1272,2020-01-01,2025-03-03
643,EIMCOELECO,1033,2020-01-01,2025-03-03
644,EKC,1155,2020-01-01,2025-03-03
645,ELDEHSG,714,2022-04-12,2025-03-03
646,ELECON,1272,2020-01-01,2025-03-03
647,ELECTCAST,1272,2020-01-01,2025-03-03
648,ELECTHERM,845,2020-01-01,2024-11-13
649,ELGIEQUIP,1272,2020-01-01,2025-03-03
650,ELGIRUBCO,921,2020-01-01,2024-12-31
651,ELIN,536,2022-12-30,2025-03-03
652,EMAMILTD,1272,2020-01-01,2025-03-03
653,EMAMIPAP,1272,2020-01-01,2025-03-03
654,EMAMIREAL,1000,2020-01-01,2024-12-10
655,EMBDL,164,2024-07-08,2025-03-03
656,EMCURE,162,2024-07-10,2025-03-03
657,EMIL,566,2022-10-17,2025-03-03
658,EMKAY,1029,2020-01-01,2024-06-13
659,EMMBI,1272,2020-01-01,2025-03-03
660,EMSLIMITED,357,2023-09-21,2025-03-03
661,EMUDHRA,681,2022-06-01,2025-03-03
662,EMULTIMQ,80,2024-11-07,2025-03-03
663,ENDURANCE,1272,2020-01-01,2025-03-03
664,ENERGYDEV,969,2020-01-01,2024-12-16
665,ENGINERSIN,1272,2020-01-01,2025-03-03
666,ENIL,1272,2020-01-01,2025-03-03
667,ENTERO,257,2024-02-16,2025-03-03
668,EON,37,2020-01-01,2020-02-26
669,EPACK,214,2024-01-30,2025-03-03
670,EPIGRAL,364,2023-09-11,2025-03-03
671,EPL,1079,2020-10-19,2025-03-03
672,EQ30,378,2020-01-01,2021-09-30
673,EQUAL50ADD,258,2024-02-15,2025-03-03
674,EQUIPPP,120,2021-11-30,2022-05-24
675,EQUITAS,760,2020-01-01,2023-02-02
676,EQUITASBNK,1069,2020-11-02,2025-03-03
677,ERIS,1272,2020-01-01,2025-03-03
678,EROSMEDIA,1064,2020-01-01,2024-10-24
679,ESABINDIA,1272,2020-01-01,2025-03-03
680,ESAFSFB,323,2023-11-10,2025-03-03
681,ESCORTS,1272,2020-01-01,2025-03-03
682,ESG,370,2023-09-01,2025-03-03
683,ESILVER,314,2023-11-24,2025-03-03
684,ESSARSHPNG,856,2020-01-01,2024-07-15
685,ESSELPACK,193,2020-01-01,2020-10-16
686,ESSENTIA,240,2022-06-21,2025-03-03
687,ESTER,1272,2020-01-01,2025-03-03
688,ETHOSLTD,683,2022-05-30,2025-03-03
689,EUREKAFORB,119,2024-09-11,2025-03-03
690,EUROMULTI,71,2020-03-04,2020-12-24
691,EUROTEXIND,367,2020-01-03,2024-10-08
692,EVEREADY,1220,2020-01-01,2025-03-03
693,EVERESTIND,1248,2020-01-01,2025-01-28
694,EVINDIA,158,2024-07-16,2025-03-03
695,EXCEL,451,2020-01-01,2024-11-13
696,EXCELINDUS,1272,2020-01-01,2025-03-03
697,EXICOM,188,2024-03-05,2025-03-03
698,EXIDEIND,1272,2020-01-01,2025-03-03
699,EXPLEOSOL,1205,2020-01-01,2025-03-03
700,EXXARO,866,2021-08-31,2025-03-03
701,FACT,1272,2020-01-01,2025-03-03
702,FAIRCHEM,180,2020-01-01,2020-10-13
703,FAIRCHEMOR,1024,2021-01-08,2025-03-03
704,FAZE3Q,566,2022-11-18,2025-03-03
705,FCL,1272,2020-01-01,2025-03-03
706,FCONSUMER,776,2020-01-01,2024-05-15
707,FCSSOFT,956,2020-01-01,2025-03-03
708,FDC,1272,2020-01-01,2025-03-03
709,FEDERALBNK,1272,2020-01-01,2025-03-03
710,FEDFINA,311,2023-11-30,2025-03-03
711,FEL,692,2020-01-01,2023-01-20
712,FELDVR,644,2020-01-01,2023-02-21
713,FIBERWEB,689,2022-02-16,2025-03-03
714,FICOMORGAN,2,2024-12-04,2024-12-05
715,FIEMIND,1272,2020-01-01,2025-03-03
716,FILATEX,1272,2020-01-01,2025-03-03
717,FILATFASH,80,2024-05-06,2024-08-29
718,FINCABLES,1272,2020-01-01,2025-03-03
719,FINEORG,1272,2020-01-01,2025-03-03
720,FINIETF,297,2023-12-20,2025-03-03
721,FINOPB,817,2021-11-12,2025-03-03
722,FINPIPE,1272,2020-01-01,2025-03-03
723,FIRSTCRY,139,2024-08-13,2025-03-03
724,FISHFALCON,2,2024-12-04,2024-12-05
725,FIVESTAR,565,2022-11-21,2025-03-03
726,FLAIR,310,2023-12-01,2025-03-03
727,FLEXITUFF,565,2020-03-04,2024-07-24
728,FLFL,653,2020-01-01,2023-03-31
729,FLUOROCHEM,1209,2020-01-01,2025-03-03
730,FMCGIETF,297,2023-12-20,2025-03-03
731,FMGOETZE,1271,2020-01-01,2025-03-03
732,FMNL,980,2020-01-01,2024-08-30
733,FOCUS,642,2021-11-24,2025-03-03
734,FOODSIN,756,2021-11-16,2025-03-03
735,FORCEMOT,1196,2020-01-01,2025-03-03
736,FORTIS,1271,2020-01-01,2025-03-03
737,FOSECOIND,1271,2020-01-01,2025-03-03
738,FRETAIL,628,2020-01-01,2022-07-22
739,FSC,627,2020-01-01,2022-11-21
740,FSL,1271,2020-01-01,2025-03-03
741,FUSION,569,2022-11-15,2025-03-03
742,G5,122,2020-12-16,2021-06-15
743,GABRIEL,1271,2020-01-01,2025-03-03
744,GAEL,1271,2020-01-01,2025-03-03
745,GAIL,1271,2020-01-01,2025-03-03
746,GAL,643,2020-01-01,2023-06-30
747,GALAPREC,111,2024-09-23,2025-03-03
748,GALAXYSURF,1271,2020-01-01,2025-03-03
749,GALLANTT,1069,2020-01-01,2025-03-03
750,GALLISPAT,593,2020-01-01,2022-06-03
751,GAMMNINFRA,303,2020-03-04,2021-07-19
752,GANDHAR,311,2023-11-30,2025-03-03
753,GANDHITUBE,1271,2020-01-01,2025-03-03
754,GANECOS,1271,2020-01-01,2025-03-03
755,GANESHBE,855,2021-09-16,2025-03-03
756,GANESHHOUC,1185,2020-01-01,2025-03-03
757,GANGAFORGE,582,2021-07-06,2025-03-03
758,GANGESSECU,1269,2020-01-01,2025-03-03
759,GARDENSILK,91,2020-01-01,2021-01-25
760,GARFIBRES,1271,2020-01-01,2025-03-03
761,GARUDA,96,2024-10-15,2025-03-03
762,GATECH,66,2023-12-12,2024-09-30
763,GATECHDVR,44,2023-12-11,2024-02-12
764,GATEWAY,719,2022-04-05,2025-03-03
765,GATI,960,2020-01-01,2023-11-29
766,GAYAHWS,202,2020-01-01,2024-11-13
767,GAYAPROJ,618,2020-01-01,2022-10-19
768,GBGLOBAL,135,2020-03-11,2021-05-19
769,GDL,427,2020-01-01,2022-01-04
770,GEECEE,1271,2020-01-01,2025-03-03
771,GEEKAYWIRE,882,2020-03-06,2025-03-03
772,GENCON,802,2021-02-16,2025-03-03
773,GENESYS,1012,2020-01-01,2025-03-03
774,GENSOL,356,2023-07-03,2025-03-03
775,GENUSPAPER,1192,2020-01-01,2025-03-03
776,GENUSPOWER,1271,2020-01-01,2025-03-03
777,GEOJITFSL,1271,2020-01-01,2025-03-03
778,GEPIL,1214,2020-01-01,2025-03-03
779,GESHIP,1271,2020-01-01,2025-03-03
780,GET&D,862,2020-01-01,2023-09-29
781,GFLLIMITED,1251,2020-01-01,2025-03-03
782,GFSTEELS,96,2020-04-13,2022-09-20
783,GHCL,1261,2020-01-01,2025-03-03
784,GHCLTEXTIL,417,2023-06-26,2025-03-03
785,GICHSGFIN,1271,2020-01-01,2025-03-03
786,GICRE,1271,2020-01-01,2025-03-03
787,GILLANDERS,997,2020-01-01,2024-12-13
788,GILLETTE,1271,2020-01-01,2025-03-03
789,GILT5YBEES,697,2022-05-10,2025-03-03
790,GINNIFILA,1129,2020-01-01,2025-03-03
791,GIPCL,1271,2020-01-01,2025-03-03
792,GISOLUTION,119,2020-01-01,2023-04-06
793,GKWLIMITED,1039,2020-01-01,2025-02-17
794,GLAND,1056,2020-11-20,2025-03-03
795,GLAXO,1271,2020-01-01,2025-03-03
796,GLENMARK,1271,2020-01-01,2025-03-03
797,GLFL,295,2020-02-10,2025-01-28
798,GLOBAL,851,2020-12-07,2025-03-03
799,GLOBALE,2,2024-09-10,2024-09-11
800,GLOBALVECT,779,2020-01-01,2024-01-10
801,GLOBE,653,2020-10-07,2025-03-03
802,GLOBOFFS,164,2020-01-01,2021-03-12
803,GLOBUSSPR,1195,2020-01-01,2025-03-03
804,GLOSTERLTD,212,2024-04-26,2025-03-03
805,GLS,851,2021-08-06,2025-01-17
806,GMBREW,1250,2020-01-01,2025-03-03
807,GMDCLTD,1271,2020-01-01,2025-03-03
808,GMMPFAUDLR,1271,2020-01-01,2025-03-03
809,GMRAIRPORT,58,2024-12-11,2025-03-03
810,GMRINFRA,1213,2020-01-01,2024-12-10
811,GMRP&UI,718,2022-04-06,2025-03-03
812,GNA,1271,2020-01-01,2025-03-03
813,GNFC,1271,2020-01-01,2025-03-03
814,GOACARBON,1167,2020-01-01,2025-03-03
815,GOCLCORP,1271,2020-01-01,2025-03-03
816,GOCOLORS,806,2021-11-30,2025-03-03
817,GODAVARIB,77,2024-10-30,2025-02-18
818,GODFRYPHLP,1271,2020-01-01,2025-03-03
819,GODHA,398,2020-12-24,2024-11-13
820,GODIGIT,195,2024-05-23,2025-03-03
821,GODREJAGRO,1271,2020-01-01,2025-03-03
822,GODREJCP,1271,2020-01-01,2025-03-03
823,GODREJIND,1271,2020-01-01,2025-03-03
824,GODREJPROP,1271,2020-01-01,2025-03-03
825,GOKEX,1271,2020-01-01,2025-03-03
826,GOKUL,1094,2020-01-01,2025-03-03
827,GOKULAGRO,1187,2020-01-01,2025-03-03
828,GOLD1,219,2024-04-16,2025-03-03
829,GOLDBEES,1271,2020-01-01,2025-03-03
830,GOLDCASE,247,2024-03-01,2025-03-03
831,GOLDENTOBC,528,2020-01-01,2022-06-14
832,GOLDETF,370,2023-09-01,2025-03-03
833,GOLDETFADD,258,2024-02-15,2025-03-03
834,GOLDIAM,1271,2020-01-01,2025-03-03
835,GOLDIETF,297,2023-12-20,2025-03-03
836,GOLDSHARE,1271,2020-01-01,2025-03-03
837,GOLDTECH,764,2020-01-01,2025-03-03
838,GOODLUCK,1209,2020-01-01,2025-03-03
839,GOODYEAR,755,2020-10-05,2023-10-25
840,GOPAL,239,2024-03-14,2025-03-03
841,GOYALALUM,257,2022-11-04,2025-03-03
842,GPIL,1199,2020-01-01,2025-03-03
843,GPPL,1271,2020-01-01,2025-03-03
844,GPTHEALTH,248,2024-02-29,2025-03-03
845,GPTINFRA,1006,2020-01-01,2025-03-03
846,GRANULES,1271,2020-01-01,2025-03-03
847,GRAPHITE,1271,2020-01-01,2025-03-03
848,GRASIM,1271,2020-01-01,2025-03-03
849,GRAUWEIL,549,2021-08-05,2023-10-25
850,GRAVITA,1209,2020-01-01,2025-03-03
851,GREAVESCOT,1271,2020-01-01,2025-03-03
852,GREENLAM,1271,2020-01-01,2025-03-03
853,GREENPANEL,1166,2020-01-01,2025-03-03
854,GREENPLY,1271,2020-01-01,2025-03-03
855,GREENPOWER,942,2020-03-04,2025-03-03
856,GRINDWELL,1271,2020-01-01,2025-03-03
857,GRINFRA,895,2021-07-19,2025-03-03
858,GRMOVER,614,2022-09-07,2025-03-03
859,GROBTEA,1126,2020-03-04,2025-03-03
860,GROWEV,8,2024-08-12,2024-08-22
861,GROWWDEFNC,98,2024-10-11,2025-03-03
862,GROWWEV,132,2024-08-23,2025-03-03
863,GROWWGOLD,89,2024-10-24,2025-03-03
864,GROWWLIQID,108,2024-09-26,2025-03-03
865,GROWWN200,2,2025-02-28,2025-03-03
866,GROWWRAIL,16,2025-02-07,2025-03-03
867,GRPLTD,1041,2020-01-01,2025-03-03
868,GRSE,1271,2020-01-01,2025-03-03
869,GRWRHITECH,760,2022-02-03,2025-03-03
870,GSCLCEMENT,809,2020-01-01,2023-04-20
871,GSEC10ABSL,76,2024-08-19,2025-03-03
872,GSEC10IETF,266,2023-12-20,2025-03-03
873,GSEC10YEAR,357,2023-09-04,2025-03-03
874,GSEC5IETF,294,2023-12-20,2025-03-03
875,GSFC,1271,2020-01-01,2025-03-03
876,GSKCONS,66,2020-01-01,2020-04-15
877,GSLSU,469,2023-04-11,2025-03-03
878,GSPL,1271,2020-01-01,2025-03-03
879,GSS,1058,2020-01-01,2025-03-03
880,GTECJAINX,23,2023-12-26,2024-10-23
881,GTL,907,2020-01-01,2025-03-03
882,GTLINFRA,1133,2020-01-01,2025-03-03
883,GTNIND,204,2020-01-01,2021-03-12
884,GTNTEX,31,2020-05-27,2020-07-10
885,GTPL,1271,2020-01-01,2025-03-03
886,GUFICBIO,1271,2020-01-01,2025-03-03
887,GUJALKALI,1271,2020-01-01,2025-03-03
888,GUJAPOLLO,1098,2020-01-01,2025-03-03
889,GUJGASLTD,1271,2020-01-01,2025-03-03
890,GUJRAFFIA,160,2024-04-29,2024-12-19
891,GUJTHEM,4,2025-02-25,2025-03-03
892,GULFOILLUB,1271,2020-01-01,2025-03-03
893,GULFPETRO,1206,2020-01-01,2025-03-03
894,GULPOLY,1154,2020-01-01,2025-03-03
895,GVKPIL,518,2020-01-01,2024-07-19
896,GVPTECH,218,2024-03-26,2025-03-03
897,GVT&D,35,2025-01-06,2025-03-03
898,HAL,1271,2020-01-01,2025-03-03
899,HAPPSTMNDS,1032,2020-09-17,2025-03-03
900,HAPPYFORGE,293,2023-12-27,2025-03-03
901,HARDWYN,648,2022-04-12,2025-01-14
902,HARIOMPIPE,703,2022-04-29,2025-03-03
903,HARITASEAT,309,2020-01-01,2021-04-09
904,HARRMALAYA,1184,2020-01-01,2025-03-03
905,HARSHA,601,2022-09-26,2025-03-03
906,HATHWAY,1195,2020-01-01,2025-03-03
907,HATSUN,1271,2020-01-01,2025-03-03
908,HAVELLS,1271,2020-01-01,2025-03-03
909,HAVISHA,166,2024-04-23,2025-03-03
910,HBANKETF,691,2020-08-28,2023-06-15
911,HBLENGINE,50,2024-12-23,2025-03-03
912,HBLPOWER,1221,2020-01-01,2024-12-20
913,HBSL,791,2021-04-27,2025-03-03
914,HCC,1271,2020-01-01,2025-03-03
915,HCG,1271,2020-01-01,2025-03-03
916,HCL-INSYS,1012,2020-01-01,2025-03-03
917,HCLTECH,1271,2020-01-01,2025-03-03
918,HDFC,866,2020-01-01,2023-07-12
919,HDFCAMC,1271,2020-01-01,2025-03-03
920,HDFCBANK,1271,2020-01-01,2025-03-03
921,HDFCBSE500,500,2023-02-21,2025-03-03
922,HDFCGOLD,423,2023-06-16,2025-03-03
923,HDFCGROWTH,598,2022-09-29,2025-03-03
924,HDFCLIFE,1271,2020-01-01,2025-03-03
925,HDFCLIQUID,369,2023-08-31,2025-03-03
926,HDFCLOWVOL,577,2022-10-17,2025-03-03
927,HDFCMFGETF,848,2020-01-01,2023-06-15
928,HDFCMID150,500,2023-02-21,2025-03-03
929,HDFCMOMENT,585,2022-10-17,2025-03-03
930,HDFCNEXT50,630,2022-08-11,2025-03-03
931,HDFCNIF100,630,2022-08-11,2025-03-03
932,HDFCNIFBAN,423,2023-06-16,2025-03-03
933,HDFCNIFETF,848,2020-01-01,2023-06-15
934,HDFCNIFIT,564,2022-11-22,2025-03-03
935,HDFCNIFTY,423,2023-06-16,2025-03-03
936,HDFCPSUBK,264,2024-02-07,2025-03-03
937,HDFCPVTBAN,562,2022-11-22,2025-03-03
938,HDFCQUAL,597,2022-09-29,2025-03-03
939,HDFCSENETF,848,2020-01-01,2023-06-15
940,HDFCSENSEX,423,2023-06-16,2025-03-03
941,HDFCSILVER,614,2022-09-07,2025-03-03
942,HDFCSML250,500,2023-02-21,2025-03-03
943,HDFCVALUE,597,2022-09-29,2025-03-03
944,HEADSUP,583,2022-07-18,2025-03-03
945,HEALTHADD,264,2024-02-07,2025-03-03
946,HEALTHIETF,297,2023-12-20,2025-03-03
947,HEALTHY,826,2021-10-28,2025-03-03
948,HECPROJECT,535,2021-12-30,2025-03-03
949,HEG,1271,2020-01-01,2025-03-03
950,HEIDELBERG,1271,2020-01-01,2025-03-03
951,HEMIPROP,1011,2020-11-05,2025-03-03
952,HERANBA,985,2021-03-05,2025-03-03
953,HERCULES,1194,2020-01-01,2025-03-03
954,HERITGFOOD,1271,2020-01-01,2025-03-03
955,HEROMOTOCO,1271,2020-01-01,2025-03-03
956,HESTERBIO,1271,2020-01-01,2025-03-03
957,HEUBACHIND,488,2023-03-10,2025-03-03
958,HEXATRADEX,898,2020-08-24,2025-03-03
959,HEXAWARE,202,2020-01-01,2020-10-30
960,HEXT,8,2025-02-19,2025-03-03
961,HFCL,1208,2020-01-01,2025-03-03
962,HGINFRA,1271,2020-01-01,2025-03-03
963,HGS,1166,2020-01-01,2025-03-03
964,HIKAL,1271,2020-01-01,2025-03-03
965,HIL,1271,2020-01-01,2025-03-03
966,HILTON,977,2020-03-04,2025-03-03
967,HIMATSEIDE,1209,2020-01-01,2025-03-03
968,HINDALCO,1271,2020-01-01,2025-03-03
969,HINDCOMPOS,1271,2020-01-01,2025-03-03
970,HINDCON,605,2021-07-05,2024-12-11
971,HINDCOPPER,1271,2020-01-01,2025-03-03
972,HINDMOTORS,961,2020-01-01,2025-03-03
973,HINDNATGLS,384,2020-01-01,2022-04-06
974,HINDOILEXP,1271,2020-01-01,2025-03-03
975,HINDPETRO,1271,2020-01-01,2025-03-03
976,HINDUNILVR,1271,2020-01-01,2025-03-03
977,HINDWAREAP,667,2022-06-21,2025-03-03
978,HINDZINC,1271,2020-01-01,2025-03-03
979,HIRECT,1122,2020-01-01,2025-03-03
980,HISARMETAL,1209,2020-01-01,2025-03-03
981,HITECH,1271,2020-01-01,2025-03-03
982,HITECHCORP,1153,2020-01-01,2025-03-03
983,HITECHGEAR,1035,2020-01-01,2024-09-03
984,HLEGLAS,994,2021-02-22,2025-03-03
985,HLVLTD,1119,2020-01-08,2025-03-03
986,HMAAGRO,412,2023-07-04,2025-03-03
987,HMVL,1205,2020-01-01,2025-03-03
988,HNDFDS,1147,2020-01-01,2025-03-03
989,HNGSNGBEES,1270,2020-01-01,2025-03-03
990,HOMEFIRST,1007,2021-02-03,2025-03-03
991,HONASA,326,2023-11-07,2025-03-03
992,HONAUT,1271,2020-01-01,2025-03-03
993,HONDAPOWER,1271,2020-01-01,2025-03-03
994,HOTELEELA,5,2020-01-01,2020-01-07
995,HOTELRUGBY,83,2020-01-06,2022-11-18
996,HOVS,898,2020-01-01,2025-03-03
997,HPAL,777,2022-01-10,2025-03-03
998,HPIL,377,2022-11-07,2025-03-03
999,HPL,1252,2020-01-01,2025-03-03
1000,HSCL,1203,2020-01-01,2025-03-03
1001,HSIL,575,2020-01-01,2022-05-10
1002,HTMEDIA,1198,2020-01-01,2025-03-03
1003,HUBTOWN,664,2020-03-04,2025-03-03
1004,HUDCO,1271,2020-01-01,2025-03-03
1005,HUHTAMAKI,1052,2020-11-26,2025-03-03
1006,HYBRIDFIN,138,2022-12-13,2025-03-03
1007,HYUNDAI,91,2024-10-22,2025-03-03
1008,IBMFNIFTY,936,2020-01-01,2023-10-25
1009,IBREALEST,1107,2020-01-01,2024-07-05
1010,IBULHSGFIN,1120,2020-01-01,2024-07-25
1011,IBULISL,185,2020-01-01,2020-12-07
1012,IBVENTURES,199,2020-01-01,2020-10-27
1013,ICDSLTD,39,2024-10-21,2024-12-17
1014,ICEMAKE,971,2020-10-12,2025-03-03
1015,ICICI10GS,180,2022-12-19,2023-12-19
1016,ICICI500,974,2020-01-01,2023-12-19
1017,ICICI5GSEC,434,2022-03-10,2023-12-19
1018,ICICIALPLV,825,2020-08-18,2023-12-19
1019,ICICIAUTO,474,2022-01-18,2023-12-19
1020,ICICIB22,1271,2020-01-01,2025-03-03
1021,ICICIBANK,1271,2020-01-01,2025-03-03
1022,ICICIBANKN,974,2020-01-01,2023-12-19
1023,ICICIBANKP,974,2020-01-01,2023-12-19
1024,ICICICOMMO,245,2022-12-21,2023-12-19
1025,ICICICONSU,526,2021-11-02,2023-12-19
1026,ICICIFIN,261,2022-11-30,2023-12-19
1027,ICICIFMCG,583,2021-08-10,2023-12-19
1028,ICICIGI,1271,2020-01-01,2025-03-03
1029,ICICIGOLD,974,2020-01-01,2023-12-19
1030,ICICIINFRA,327,2022-08-23,2023-12-19
1031,ICICILIQ,974,2020-01-01,2023-12-19
1032,ICICILOVOL,974,2020-01-01,2023-12-19
1033,ICICIM150,956,2020-01-28,2023-12-19
1034,ICICIMCAP,974,2020-01-01,2023-12-19
1035,ICICIMOM30,335,2022-08-10,2023-12-19
1036,ICICINF100,973,2020-01-01,2023-12-19
1037,ICICINIFTY,974,2020-01-01,2023-12-19
1038,ICICINV20,974,2020-01-01,2023-12-19
1039,ICICINXT50,974,2020-01-01,2023-12-19
1040,ICICIPHARM,637,2021-05-25,2023-12-19
1041,ICICIPRULI,1271,2020-01-01,2025-03-03
1042,ICICIQTY30,87,2023-08-10,2023-12-19
1043,ICICISENSX,974,2020-01-01,2023-12-19
1044,ICICISILVE,466,2022-01-31,2023-12-19
1045,ICICITECH,823,2020-08-20,2023-12-19
1046,ICIL,1271,2020-01-01,2025-03-03
1047,ICRA,1271,2020-01-01,2025-03-03
1048,IDBI,1271,2020-01-01,2025-03-03
1049,IDBIGOLD,878,2020-01-01,2023-07-28
1050,IDEA,1271,2020-01-01,2025-03-03
1051,IDEAFORGE,409,2023-07-07,2025-03-03
1052,IDFC,1172,2020-01-01,2024-10-09
1053,IDFCFIRSTB,1271,2020-01-01,2025-03-03
1054,IDFNIFTYET,1255,2020-01-01,2025-03-03
1055,IEL,271,2023-01-10,2024-11-27
1056,IEX,1271,2020-01-01,2025-03-03
1057,IFBAGRO,1214,2020-01-01,2025-03-03
1058,IFBIND,1271,2020-01-01,2025-03-03
1059,IFCI,1271,2020-01-01,2025-03-03
1060,IFGLEXPOR,1271,2020-01-01,2025-03-03
1061,IGARASHI,1271,2020-01-01,2025-03-03
1062,IGIL,51,2024-12-20,2025-03-03
1063,IGL,1271,2020-01-01,2025-03-03
1064,IGPL,1271,2020-01-01,2025-03-03
1065,IIFL,1198,2020-01-01,2025-03-03
1066,IIFLCAPS,64,2024-12-03,2025-03-03
1067,IIFLSEC,1207,2020-01-01,2024-12-02
1068,IIFLWAM,751,2020-01-01,2023-01-20
1069,IITL,737,2020-01-01,2024-08-13
1070,IKIO,423,2023-06-16,2025-03-03
1071,IKS,52,2024-12-19,2025-03-03
1072,IMAGICAA,943,2020-04-22,2025-03-03
