,symbol,date_timestamp,open,low,high,close,volume,expiry,expiry_type
0,NIFTY,2024-10-16 09:15:00,25074,25056,25078,25070,83925,2024-10-31 14:30:00,I
1,NIFTY,2024-10-16 09:16:00,25067,25067,25090,25089,24250,2024-10-31 14:30:00,I
2,NIFTY,2024-10-16 09:17:00,25090,25084,25094,25084,22275,2024-10-31 14:30:00,I
3,NIFTY,2024-10-16 09:18:00,25090,25079,25091,25080,15100,2024-10-31 14:30:00,I
4,NIFTY,2024-10-16 09:19:00,25080,25076,25088,25088,11500,2024-10-31 14:30:00,I
5,NIFTY,2024-10-16 09:20:00,25089,25084,25100,25099,41600,2024-10-31 14:30:00,I
6,NIFTY,2024-10-16 09:21:00,25099,25091,25107,25096,23100,2024-10-31 14:30:00,I
7,NIFTY,2024-10-16 09:22:00,25096,25092,25099,25095,6425,2024-10-31 14:30:00,I
8,NIFTY,2024-10-16 09:23:00,25095,25087,25101,25087,10350,2024-10-31 14:30:00,I
9,NIFTY,2024-10-16 09:24:00,25089,25089,25096,25094,12250,2024-10-31 14:30:00,I
10,NIFTY,2024-10-16 09:25:00,25094,25094,25105,25103,9450,2024-10-31 14:30:00,I
11,NIFTY,2024-10-16 09:26:00,25100,25099,25104,25100,6475,2024-10-31 14:30:00,I
12,NIFTY,2024-10-16 09:27:00,25102,25095,25102,25096,9275,2024-10-31 14:30:00,I
13,NIFTY,2024-10-16 09:28:00,25093,25093,25100,25098,8400,2024-10-31 14:30:00,I
14,NIFTY,2024-10-16 09:29:00,25097,25093,25097,25095,5625,2024-10-31 14:30:00,I
15,NIFTY,2024-10-16 09:30:00,25095,25095,25106,25101,19325,2024-10-31 14:30:00,I
16,NIFTY,2024-10-16 09:31:00,25105,25104,25122,25119,14075,2024-10-31 14:30:00,I
17,NIFTY,2024-10-16 09:32:00,25120,25117,25135,25127,20100,2024-10-31 14:30:00,I
18,NIFTY,2024-10-16 09:33:00,25127,25120,25132,25128,13875,2024-10-31 14:30:00,I
19,NIFTY,2024-10-16 09:34:00,25127,25125,25133,25126,14200,2024-10-31 14:30:00,I
20,NIFTY,2024-10-16 09:35:00,25126,25121,25133,25129,13425,2024-10-31 14:30:00,I
21,NIFTY,2024-10-16 09:36:00,25125,25121,25132,25132,14200,2024-10-31 14:30:00,I
22,NIFTY,2024-10-16 09:37:00,25132,25120,25132,25128,15975,2024-10-31 14:30:00,I
23,NIFTY,2024-10-16 09:38:00,25128,25122,25156,25155,54175,2024-10-31 14:30:00,I
24,NIFTY,2024-10-16 09:39:00,25155,25148,25158,25152,33975,2024-10-31 14:30:00,I
25,NIFTY,2024-10-16 09:40:00,25152,25147,25158,25147,16750,2024-10-31 14:30:00,I
26,NIFTY,2024-10-16 09:41:00,25149,25143,25150,25143,19925,2024-10-31 14:30:00,I
27,NIFTY,2024-10-16 09:42:00,25147,25140,25158,25153,12625,2024-10-31 14:30:00,I
28,NIFTY,2024-10-16 09:43:00,25153,25149,25167,25167,27000,2024-10-31 14:30:00,I
29,NIFTY,2024-10-16 09:44:00,25167,25161,25170,25165,24125,2024-10-31 14:30:00,I
30,NIFTY,2024-10-16 09:45:00,25164,25155,25167,25156,21825,2024-10-31 14:30:00,I
31,NIFTY,2024-10-16 09:46:00,25156,25152,25159,25152,5375,2024-10-31 14:30:00,I
32,NIFTY,2024-10-16 09:47:00,25152,25147,25159,25147,9825,2024-10-31 14:30:00,I
33,NIFTY,2024-10-16 09:48:00,25150,25146,25160,25159,7350,2024-10-31 14:30:00,I
34,NIFTY,2024-10-16 09:49:00,25160,25155,25167,25166,20150,2024-10-31 14:30:00,I
35,NIFTY,2024-10-16 09:50:00,25166,25152,25167,25152,10475,2024-10-31 14:30:00,I
36,NIFTY,2024-10-16 09:51:00,25154,25145,25158,25148,18700,2024-10-31 14:30:00,I
37,NIFTY,2024-10-16 09:52:00,25145,25145,25158,25155,14175,2024-10-31 14:30:00,I
38,NIFTY,2024-10-16 09:53:00,25155,25151,25160,25159,18500,2024-10-31 14:30:00,I
39,NIFTY,2024-10-16 09:54:00,25159,25151,25169,25165,18800,2024-10-31 14:30:00,I
40,NIFTY,2024-10-16 09:55:00,25165,25162,25182,25179,44425,2024-10-31 14:30:00,I
